row_label_raw,row_label_full,Tên công ty,Trụ sở chính,Tỷ lệ phần sở hữu,Tỷ lệ quyền biểu quyết nắm giữ,Hoạt động chính,numeric__Trụ sở chính,numeric__Tỷ lệ phần sở hữu,numeric__Tỷ lệ quyền biểu quyết nắm giữ,numeric__Hoạt động chính
Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,,,,
Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Công ty con cấp 1 > Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Hà Nội,"100,00%","100,00%",Xuất nhập khẩu các mặt hàng nông sản,,1.0,1.0,
Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty con cấp 1 > Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Cần Thơ,"56,69%","56,69%",Kinh doanh sản phẩm nông nghiệp,,0.5669,0.5669,
Công ty CP Dược phẩm Cửu Long,Công ty con cấp 1 > Công ty CP Dược phẩm Cửu Long,Công ty CP Dược phẩm Cửu Long,Vĩnh Long,"71,09%","71,09%","Kinh doanh dược phẩm, thiết bị y tế",,0.7109000000000001,0.7109000000000001,
Công ty CP Đầu tư Bất động sản F.I.T,Công ty con cấp 1 > Công ty CP Đầu tư Bất động sản F.I.T,Công ty CP Đầu tư Bất động sản F.I.T,Hà Nội,"99,00%","99,00%",Kinh doanh bất động sản,,0.99,0.99,
"Thông qua Công ty con cấp 1, Công ty nấm quyền kiểm soát các Công ty con sau:","Thông qua Công ty con cấp 1, Công ty nấm quyền kiểm soát các Công ty con sau:","Thông qua Công ty con cấp 1, Công ty nấm quyền kiểm soát các Công ty con sau:","Thông qua Công ty con cấp 1, Công ty nấm quyền kiểm soát các Công ty con sau:","Thông qua Công ty con cấp 1, Công ty nấm quyền kiểm soát các Công ty con sau:","Thông qua Công ty con cấp 1, Công ty nấm quyền kiểm soát các Công ty con sau:","Thông qua Công ty con cấp 1, Công ty nấm quyền kiểm soát các Công ty con sau:",,,,
Công ty CP Chế biến Thực phẩm Xuất khẩu Miền Tây,"Thông qua Công ty con cấp 1, Công ty nấm quyền kiểm soát các Công ty con sau: > Công ty CP Chế biến Thực phẩm Xuất khẩu Miền Tây",Công ty CP Chế biến Thực phẩm Xuất khẩu Miền Tây,Cần Thơ,"54,80%","96,66%",Chế biến nông sản,,0.5479999999999999,0.9666,
Công ty CP Hạt giống TSC,"Thông qua Công ty con cấp 1, Công ty nấm quyền kiểm soát các Công ty con sau: > Công ty CP Hạt giống TSC",Công ty CP Hạt giống TSC,Cần Thơ,"55,74%","99,74%",Kinh doanh hạt giống,,0.5574,0.9974,
Công ty CP FIT Consumer,"Thông qua Công ty con cấp 1, Công ty nấm quyền kiểm soát các Công ty con sau: > Công ty CP FIT Consumer",Công ty CP FIT Consumer,Hồ Chí Minh,"56,99%","81,72%",Kinh doanh hàng tiêu dùng,,0.5699000000000001,0.8172,
Công ty CP Giống Cây Trồng Nông Tín,"Thông qua Công ty con cấp 1, Công ty nấm quyền kiểm soát các Công ty con sau: > Công ty CP Giống Cây Trồng Nông Tín",Công ty CP Giống Cây Trồng Nông Tín,Hồ Chí Minh,"44,03%","77,67%","Sản xuất, kinh doanh giống cây trồng",,0.4403,0.7767000000000001,
