row_label_raw,row_label_full,col_0,(Số năm sử dụng),numeric__(Số năm sử dụng)
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,6,6.0
"Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý",2 - 3,
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",25 - 50,
