row_label_raw,row_label_full,Ông Nguyễn Văn Sang,Chủ tịch,numeric__Chủ tịch
Bà Nguyễn Thị Minh Nguyệt,Bà Nguyễn Thị Minh Nguyệt,Bà Nguyễn Thị Minh Nguyệt,Phó chủ tịch,
Ông Phan Minh Sáng,Ông Phan Minh Sáng,Ông Phan Minh Sáng,Thành viên,
Bà Bùi Thanh Hương,Bà Bùi Thanh Hương,Bà Bùi Thanh Hương,Thành viên,
Ông Phạm Công Sinh,Ông Phạm Công Sinh,Ông Phạm Công Sinh,Thành viên,
Ông Hứa Xuân Sinh,Ông Hứa Xuân Sinh,Ông Hứa Xuân Sinh,Thành viên (Bổ nhiệm ngày 7/11/2017),
Bà Tường Thị Thu Hạnh,Bà Tường Thị Thu Hạnh,Bà Tường Thị Thu Hạnh,Thành viên (Bổ nhiệm ngày 7/11/2017),
