row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Phương tiện vận tải,"Thiết bị, dụng cụ quản lý",Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Phương tiện vận tải,"numeric__Thiết bị, dụng cụ quản lý",numeric__Tổng cộng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Tại ngày đầu năm,NGUYÊN GIÁ > Tại ngày đầu năm,Tại ngày đầu năm,-,3.737.600.000,152.709.091,3.890.309.091,,3737600000.0,152709091.0,3890309091.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,-,5.467.868.348,5.467.868.348,,,5467868348.0,5467868348.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,15.547.261.029,-,-,15.547.261.029,15547261029.0,,,15547261029.0
Tại ngày cuối năm,NGUYÊN GIÁ > Tại ngày cuối năm,Tại ngày cuối năm,15.547.261.029,3.737.600.000,5.620.577.439,24.905.438.468,15547261029.0,3737600000.0,5620577439.0,24905438468.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Tại ngày đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày đầu năm,Tại ngày đầu năm,-,1.376.481.717,107.134.091,1.483.615.808,,1376481717.0,107134091.0,1483615808.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,174.545.561,622.933.332,539.139.736,1.336.618.629,174545561.0,622933332.0,539139736.0,1336618629.0
Tại ngày cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày cuối năm,Tại ngày cuối năm,174.545.561,1.999.415.049,646.273.827,2.820.234.437,174545561.0,1999415049.0,646273827.0,2820234437.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,-,2.361.118.283,45.575.000,2.406.693.283,,2361118283.0,45575000.0,2406693283.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,15.372.715.468,1.738.184.951,4.974.303.612,22.085.204.031,15372715468.0,1738184951.0,4974303612.0,22085204031.0
