row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quyền chọn trái phiếu chuyển đổi,Qũy đầu tư phát triển,LNST chưa phân phối và các quỹ,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quyền chọn trái phiếu chuyển đổi,numeric__Qũy đầu tư phát triển,numeric__LNST chưa phân phối và các quỹ,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư tại ngày đầu năm trước,Số dư tại ngày đầu năm trước,Số dư tại ngày đầu năm trước,1.792.124.770.000,14.805.156.176,8.490.566.038,886.852.413,175.736.441.576,1.992.043.786.203,1792124770000.0,14805156176.0,8490566038.0,886852413.0,175736441576.0,1992043786203.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,-,8.490.566.038,-,-,-,8.490.566.038,,8490566038.0,,,,8490566038.0
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,-,-,-,102.655.083.613,102.655.083.613,,,,,102655083613.0,102655083613.0
Trái phiếu chuyển đổi (Giá trị quyền,Trái phiếu chuyển đổi (Giá trị quyền,Trái phiếu chuyển đổi (Giá trị quyền,300.000.000.000,-,-,-,-,300.000.000.000,300000000000.0,,,,,300000000000.0
Phát hành cổ phiếu chia cổ tức,Phát hành cổ phiếu chia cổ tức,Phát hành cổ phiếu chia cổ tức,143.364.850.000,-,-,-,(143.364.850.000),-,143364850000.0,,,,-143364850000.0,
Giảm vốn trong năm,Giảm vốn trong năm,Giảm vốn trong năm,-,(11.000.000),(8.490.566.038),-,,(8.501.566.038),,-11000000.0,-8490566038.0,,,-8501566038.0
Tăng/giảm khác,Tăng/giảm khác,Tăng/giảm khác,-,-,-,-,(6.176.438.707),(6.176.438.707),,,,,-6176438707.0,-6176438707.0
Số dư tại ngày đầu năm nay,Số dư tại ngày đầu năm nay,Số dư tại ngày đầu năm nay,2.235.489.620.000,23.284.722.214,-,886.852.413,128.850.236.482,2.388.511.431.109,2235489620000.0,23284722214.0,,886852413.0,128850236482.0,2388511431109.0
Tăng vốn trong năm (i),Tăng vốn trong năm (i),Tăng vốn trong năm (i),311.812.850.000,46.771.927.500,-,-,-,358.584.777.500,311812850000.0,46771927500.0,,,,358584777500.0
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,-,-,-,97.614.401.880,97.614.401.880,,,,,97614401880.0,97614401880.0
Giảm khác,Giảm khác,Giảm khác,-,(11.000.000),-,-,-,(11.000.000),,-11000000.0,,,,-11000000.0
Số dư tại ngày cuối năm nay,Số dư tại ngày cuối năm nay,Số dư tại ngày cuối năm nay,2.547.302.470.000,70.045.649.714,-,886.852.413,226.464.638.362,2.844.699.610.489,2547302470000.0,70045649714.0,,886852413.0,226464638362.0,2844699610489.0
