row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tổng cộng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày đầu năm,NGUYÊN GIÁ > Tại ngày đầu năm,Tại ngày đầu năm,-,205.700.000,205.700.000,,205700000.0,205700000.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,18.825.345.650,-,18.825.345.650,18825345650.0,,18825345650.0
Tại ngày cuối năm,NGUYÊN GIÁ > Tại ngày cuối năm,Tại ngày cuối năm,18.825.345.650,205.700.000,19.031.045.650,18825345650.0,205700000.0,19031045650.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,
Tại ngày đầu năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày đầu năm,Tại ngày đầu năm,-,97.286.924,97.286.924,,97286924.0,97286924.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,-,68.413.068,68.413.068,,68413068.0,68413068.0
Tại ngày cuối năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày cuối năm,Tại ngày cuối năm,-,165.699.992,165.699.992,,165699992.0,165699992.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,-,108.413.076,108.413.076,,108413076.0,108413076.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,18.825.345.650,40.000.008,18.865.345.658,18825345650.0,40000008.0,18865345658.0
