row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Năm trước,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,118.270.862.473,128.026.753.079,1.0,118270862473.0,128026753079.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,
- Khấu hao TSCĐ và BĐSĐT,2. Điều chỉnh cho các khoản > - Khấu hao TSCĐ và BĐSĐT,- Khấu hao TSCĐ và BĐSĐT,02,2.539.293.844,1.148.522.996,2.0,2539293844.0,1148522996.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,(17.850.749.662),13.452.757.417,3.0,-17850749662.0,13452757417.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,(105.177.497.537),(128.436.675.723),5.0,-105177497537.0,-128436675723.0
- Chi phí lãi vay,2. Điều chỉnh cho các khoản > - Chi phí lãi vay,- Chi phí lãi vay,06,13.667.482.587,42.964.191.127,6.0,13667482587.0,42964191127.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,11.449.391.705,57.155.548.896,8.0,11449391705.0,57155548896.0
- (Tăng)/giảm các khoản phải thu,2. Điều chỉnh cho các khoản > - (Tăng)/giảm các khoản phải thu,- (Tăng)/giảm các khoản phải thu,09,(13.284.595.483),(5.420.595.840),9.0,-13284595483.0,-5420595840.0
"- Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu","2. Điều chỉnh cho các khoản > - Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu","- Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu",11,21.006.694.136,(276.747.882.498),11.0,21006694136.0,-276747882498.0
