row_label_raw,row_label_full,Phải thu của khách hàng ngắn hạn,Số cuối nămVND9.660.210.613,Số đầu nămVND3.840.066.458,numeric__Số cuối nămVND9.660.210.613,numeric__Số đầu nămVND3.840.066.458
Công ty CP nước khoáng Khánh Hòa,Công ty CP nước khoáng Khánh Hòa,Công ty CP nước khoáng Khánh Hòa,-,3.140.589.000,,3140589000.0
Công ty CP Today Cosmetics,Công ty CP Today Cosmetics,Công ty CP Today Cosmetics,-,225.000.000,,225000000.0
Công ty CP FIT Cosmetics,Công ty CP FIT Cosmetics,Công ty CP FIT Cosmetics,1.582.939.240,175.040.500,1582939240.0,175040500.0
Công ty CP Dược Phẩm Cửu Long,Công ty CP Dược Phẩm Cửu Long,Công ty CP Dược Phẩm Cửu Long,5.958.656.736,200.000.000,5958656736.0,200000000.0
Công ty CP phát triển Kico,Công ty CP phát triển Kico,Công ty CP phát triển Kico,612.970.168,-,612970168.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,1.505.644.469,99.436.958,1505644469.0,99436958.0
Trong đó phải thu khách hàng là các bên liên quan,Trong đó phải thu khách hàng là các bên liên quan,Trong đó phải thu khách hàng là các bên liên quan,8.302.252.787,600.040.500,8302252787.0,600040500.0
Công ty CP Dược Phẩm Cửu Long,Công ty CP Dược Phẩm Cửu Long,Công ty CP Dược Phẩm Cửu Long,5.958.656.736,200.000.000,5958656736.0,200000000.0
Công ty CP FIT Cosmetics,Công ty CP FIT Cosmetics,Công ty CP FIT Cosmetics,1.582.939.240,175.040.500,1582939240.0,175040500.0
Chi nhánh Công ty CP FIT Cosmetics,Chi nhánh Công ty CP FIT Cosmetics,Chi nhánh Công ty CP FIT Cosmetics,264.537.000,-,264537000.0,
Công ty CP FIT Consumer,Công ty CP FIT Consumer,Công ty CP FIT Consumer,221.553.691,-,221553691.0,
Công ty CP vật tư kỹ thuật nông nghiệp Cần Thơ,Công ty CP vật tư kỹ thuật nông nghiệp Cần Thơ,Công ty CP vật tư kỹ thuật nông nghiệp Cần Thơ,151.286.610,-,151286610.0,
Công ty CP Đầu tư Dũng Tâm,Công ty CP Đầu tư Dũng Tâm,Công ty CP Đầu tư Dũng Tâm,123.279.510,-,123279510.0,
Công ty CP Today Cosmetics,Công ty CP Today Cosmetics,Công ty CP Today Cosmetics,-,225.000.000,,225000000.0
