row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,300,,202.129.422.780,148.335.935.543,300.0,,202129422780.0,148335935543.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,156.784.966.330,148.200.803.543,310.0,,156784966330.0,148200803543.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,,689.673.668,712.759.117,311.0,,689673668.0,712759117.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,,5.000.000,5.000.000,312.0,,5000000.0,5000000.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,18,11.779.510.604,20.641.736.324,313.0,18.0,11779510604.0,20641736324.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,2.223.874.849,1.742.410.595,314.0,,2223874849.0,1742410595.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,19,13.856.695.374,668.163.284,315.0,19.0,13856695374.0,668163284.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,,113.332.560,202.593.478,318.0,,113332560.0,202593478.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,20,194.713.261,360.817.756,319.0,20.0,194713261.0,360817756.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,21,123.121.918.268,118.316.572.252,320.0,21.0,123121918268.0,118316572252.0
"9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi",322,,4.800.247.746,5.550.750.737,322.0,,4800247746.0,5550750737.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,45.344.456.450,135.132.000,330.0,,45344456450.0,135132000.0
1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,337,20,11.488.029.950,135.132.000,337.0,20.0,11488029950.0,135132000.0
2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,338,21,33.856.426.500,-,338.0,21.0,33856426500.0,
D - VỐN CHỦ SỐ HỮU,D - VỐN CHỦ SỐ HỮU,D - VỐN CHỦ SỐ HỮU,400,,2.844.699.610.489,2.388.511.431.109,400.0,,2844699610489.0,2388511431109.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,22,2.844.699.610.489,2.388.511.431.109,410.0,22.0,2844699610489.0,2388511431109.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,2.547.302.470.000,2.235.489.620.000,411.0,,2547302470000.0,2235489620000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.547.302.470.000,2.235.489.620.000,,,2547302470000.0,2235489620000.0
2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,412,,70.045.649.714,23.284.722.214,412.0,,70045649714.0,23284722214.0
3. Quỹ đầu tư phát triển,3. Quỹ đầu tư phát triển,3. Quỹ đầu tư phát triển,418,,886.852.413,886.852.413,418.0,,886852413.0,886852413.0
4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,421,,226.464.638.362,128.850.236.482,421.0,,226464638362.0,128850236482.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,128.850.236.482,26.195.152.869,,,128850236482.0,26195152869.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,97.614.401.880,102.655.083.613,,,97614401880.0,102655083613.0
TỔNG CỔNG-NGUỒN VỐN (440 = 300 + 400),TỔNG CỔNG-NGUỒN VỐN (440 = 300 + 400),TỔNG CỔNG-NGUỒN VỐN (440 = 300 + 400),440,,3.046.829.033.269,2.536.847.366.652,440.0,,3046829033269.0,2536847366652.0
