row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
,,,VND,VND,VND,VND,,,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,24.527.840.498,46.793.763,17.413.212.340,1.238.315.518,24527840498.0,46793763.0,17413212340.0,1238315518.0
"- Ký cược, ký quỹ","- Ký cược, ký quỹ","- Ký cược, ký quỹ",28.800.000,-,24.400.000,-,28800000.0,,24400000.0,
- Tạm ứng,- Tạm ứng,- Tạm ứng,102.979.963,-,63.043.257,-,102979963.0,,63043257.0,
- Phải thu về lãi dự thu từ các hợp đồng tiền gửi và cho vay,- Phải thu về lãi dự thu từ các hợp đồng tiền gửi và cho vay,- Phải thu về lãi dự thu từ các hợp đồng tiền gửi và cho vay,19.038.328.107,-,9.995.694.443,-,19038328107.0,,9995694443.0,
+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,12.194.045.665,-,7.720.972.223,-,12194045665.0,,7720972223.0,
+ Ngân hàng VP Bank - CN Thăng Long,+ Ngân hàng VP Bank - CN Thăng Long,+ Ngân hàng VP Bank - CN Thăng Long,3.077.643.553,-,1.344.888.888,,3077643553.0,,1344888888.0,
+ Công ty tài chính TNHH MTV Ngân hàng Việt Nam Thịnh Vượng,+ Công ty tài chính TNHH MTV Ngân hàng Việt Nam Thịnh Vượng,+ Công ty tài chính TNHH MTV Ngân hàng Việt Nam Thịnh Vượng,2.476.527.777,-,-,-,2476527777.0,,,
+ Ngân hàng TMCP Quốc Tế Việt Nam,+ Ngân hàng TMCP Quốc Tế Việt Nam,+ Ngân hàng TMCP Quốc Tế Việt Nam,954.000.002,-,594.000.000,-,954000002.0,,594000000.0,
+ Ngân hàng TMCP Ngoại Thương Việt Nam - CN Nam Hà Nội,+ Ngân hàng TMCP Ngoại Thương Việt Nam - CN Nam Hà Nội,+ Ngân hàng TMCP Ngoại Thương Việt Nam - CN Nam Hà Nội,332.222.221,,335.833.332,,332222221.0,,335833332.0,
+ Các đối tượng khác,+ Các đối tượng khác,+ Các đối tượng khác,3.888.889,-,-,-,3888889.0,,,
- Phải thu lãi các hợp đồng hợp tác đầu tư (i),- Phải thu lãi các hợp đồng hợp tác đầu tư (i),- Phải thu lãi các hợp đồng hợp tác đầu tư (i),5.310.938.665,-,7.299.602.326,1.238.315.518,5310938665.0,,7299602326.0,1238315518.0
+ Công ty Cổ Phần FIT COSMETICS,+ Công ty Cổ Phần FIT COSMETICS,+ Công ty Cổ Phần FIT COSMETICS,3.163.805.997,-,105.535.327,-,3163805997.0,,105535327.0,
+ Công ty CP Đầu Tư Thương Mại Hoa Sen Việt Nam,+ Công ty CP Đầu Tư Thương Mại Hoa Sen Việt Nam,+ Công ty CP Đầu Tư Thương Mại Hoa Sen Việt Nam,1.716.744.610,-,-,-,1716744610.0,,,
+ Đào Anh Tuấn,+ Đào Anh Tuấn,+ Đào Anh Tuấn,-,-,1.490.756.847,1.238.315.518,,,1490756847.0,1238315518.0
+ Đỗ Thế Cao,+ Đỗ Thế Cao,+ Đỗ Thế Cao,-,-,4.110.862.222,-,,,4110862222.0,
+ Các đối tượng khác,+ Các đối tượng khác,+ Các đối tượng khác,430.388.058,-,1.592.447.930,-,430388058.0,,1592447930.0,
- Phải thu khác,- Phải thu khác,- Phải thu khác,46.793.763,46.793.763,30.472.314,-,46793763.0,46793763.0,30472314.0,
b) Dài hạn,b) Dài hạn,b) Dài hạn,1.014.500.000,-,1.309.025.000,-,1014500000.0,,1309025000.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",1.014.500.000,-,1.309.025.000,-,1014500000.0,,1309025000.0,
