row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi,Số đầu năm > Giá gốc,Số đầu năm > Giá trị có thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị có thể thu hồi
,,,VND,VND,VND,VND,,,,
1/ Phải thu khách hàng,1/ Phải thu khách hàng,1/ Phải thu khách hàng,99.436.958,-,99.436.958,-,99436958.0,,99436958.0,
Công ty CP Chứng khoán,Công ty CP Chứng khoán,Công ty CP Chứng khoán,45.536.958,-,45.536.958,-,45536958.0,,45536958.0,
Hoà Bình,Hoà Bình,Hoà Bình,,,,,,,,
Trịnh Xuân Sơn,Hoà Bình > Trịnh Xuân Sơn,Trịnh Xuân Sơn,53.900.000,-,53.900.000,-,53900000.0,,53900000.0,
2/ Phải thu khác,Hoà Bình > 2/ Phải thu khác,2/ Phải thu khác,46.793.763,-,1.490.756.847,252.441.266,46793763.0,,1490756847.0,252441266.0
Đào Anh Tuân,Hoà Bình > Đào Anh Tuân,Đào Anh Tuân,-,-,1.490.756.847,252.441.266,,,1490756847.0,252441266.0
Nguyễn Trương Ban,Hoà Bình > Nguyễn Trương Ban,Nguyễn Trương Ban,46.793.763,-,-,-,46793763.0,,,
3/Đầu tư khác,Hoà Bình > 3/Đầu tư khác,3/Đầu tư khác,215.143.728,-,-,-,215143728.0,,,
Nguyễn Trương Ban,Hoà Bình > Nguyễn Trương Ban,Nguyễn Trương Ban,215.143.728,-,-,-,215143728.0,,,
4/Trả trước cho người bán,Hoà Bình > 4/Trả trước cho người bán,4/Trả trước cho người bán,-,-,3.784.694.120,-,,,3784694120.0,
Đào Anh Tuân,Hoà Bình > Đào Anh Tuân,Đào Anh Tuân,-,-,3.784.694.120,-,,,3784694120.0,
Cộng,Hoà Bình > Cộng,Cộng,361.374.449,-,5.374.887.925,252.441.266,361374449.0,,5374887925.0,252441266.0
