row_label_raw,row_label_full,col_0,Dưới 1 năm,Từ 1 - 5 năm,Cộng,numeric__Dưới 1 năm,numeric__Từ 1 - 5 năm,numeric__Cộng
,,,VND,VND,VND,,,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,,
Tiền và các khoản tương đương tiền,Tại ngày đầu năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,3.396.763.225,-,3.396.763.225,3396763225.0,,3396763225.0
Phải thu khách hàng và phải thu khác,Tại ngày đầu năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,16.106.432.139,-,16.106.432.139,16106432139.0,,16106432139.0
Đầu tư tài chính ngắn hạn,Tại ngày đầu năm > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,651.810.502.236,-,651.810.502.236,651810502236.0,,651810502236.0
Đầu tư tài chính dài hạn,Tại ngày đầu năm > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,247.974.000.000,247.974.000.000,,247974000000.0,247974000000.0
Các khoản ký quỹ,Tại ngày đầu năm > Các khoản ký quỹ,Các khoản ký quỹ,24.400.000,1.309.025.000,1.333.425.000,24400000.0,1309025000.0,1333425000.0
Tổng cộng,Tại ngày đầu năm > Tổng cộng,Tổng cộng,671.338.097.600,249.283.025.000,920.621.122.600,671338097600.0,249283025000.0,920621122600.0
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,,
Các khoản vay,Tại ngày đầu năm > Các khoản vay,Các khoản vay,118.316.572.252,-,118.316.572.252,118316572252.0,,118316572252.0
Phải trả người bán và phải trả khác,Tại ngày đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.073.576.873,135.132.000,1.208.708.873,1073576873.0,135132000.0,1208708873.0
Chi phí phải trả,Tại ngày đầu năm > Chi phí phải trả,Chi phí phải trả,668.163.284,-,668.163.284,668163284.0,,668163284.0
Tổng cộng,Tại ngày đầu năm > Tổng cộng,Tổng cộng,120.058.312.409,135.132.000,120.193.444.409,120058312409.0,135132000.0,120193444409.0
Chênh lệch thanh khoản thuần,Tại ngày đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,551.279.785.191,249.147.893.000,800.427.678.191,551279785191.0,249147893000.0,800427678191.0
