row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2022VND,Giá trị ghi số > 01/01/2022VND,numeric__Giá trị ghi số > 31/12/2022VND,numeric__Giá trị ghi số > 01/01/2022VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,53.693.609.626,49.555.449.156,53693609626.0,49555449156.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,676.754.962.586,89.096.232.873,676754962586.0,89096232873.0
Các khoản đầu tư tài chính,Tài sản tài chính > Các khoản đầu tư tài chính,Các khoản đầu tư tài chính,210.000.000.000,649.250.000.000,210000000000.0,649250000000.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,940.448.572.212,787.901.682.029,940448572212.0,787901682029.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,5.972.000.000,5.972.000.000,5972000000.0,5972000000.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,207.107.917.215,79.437.063.951,207107917215.0,79437063951.0
Chỉ phí phải trả,Công nợ tài chính > Chỉ phí phải trả,Chỉ phí phải trả,151.818.182,153.713.172.125,151818182.0,153713172125.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,213.231.735.397,239.122.236.076,213231735397.0,239122236076.0
