row_label_raw,row_label_full,"Cảm cổ, ký cược, ký quỹ",22.601.355.652,(5.100.000.000),22.601.355.652_1,(5.100.000.000)_1,numeric__22.601.355.652,numeric__(5.100.000.000),numeric__22.601.355.652_1,numeric__(5.100.000.000)_1
Công ty Vật liệu xây dựng và Xây lắp thương mại BMC (1),Công ty Vật liệu xây dựng và Xây lắp thương mại BMC (1),Công ty Vật liệu xây dựng và Xây lắp thương mại BMC (1),5.100.000.000,(5.100.000.000),5.100.000.000,(5.100.000.000),5100000000.0,-5100000000.0,5100000000.0,-5100000000.0
Sở Kế hoạch và Đầu tư thành phố Hà Nội (2),Sở Kế hoạch và Đầu tư thành phố Hà Nội (2),Sở Kế hoạch và Đầu tư thành phố Hà Nội (2),2.720.000.000,-,2.720.000.000,-,2720000000.0,,2720000000.0,
Sở Kế hoạch và Đầu tư tỉnh Kiên Giang (3),Sở Kế hoạch và Đầu tư tỉnh Kiên Giang (3),Sở Kế hoạch và Đầu tư tỉnh Kiên Giang (3),14.715.000.000,-,14.715.000.000,-,14715000000.0,,14715000000.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,66.355.652,-,66.355.652,-,66355652.0,,66355652.0,
Lãi phải thu,Lãi phải thu,Lãi phải thu,20.320.020.551,-,10.166.130.138,-,20320020551.0,,10166130138.0,
Công ty CP Đầu tư và Phát triển du lịch Văn Đồn,Công ty CP Đầu tư và Phát triển du lịch Văn Đồn,Công ty CP Đầu tư và Phát triển du lịch Văn Đồn,-,-,2.536.027.398,-,,,2536027398.0,
Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,7.329.623.288,-,1.680.890.411,-,7329623288.0,,1680890411.0,
Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,12.990.397.263,-,5.933.234.247,-,12990397263.0,,5933234247.0,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân,-,-,15.978.082,-,,,15978082.0,
Phải thu khác,Phải thu khác,Phải thu khác,560.389.444.520,-,3.258.449.162,-,560389444520.0,,3258449162.0,
Tiền thỏa thuận đền bù dự án Khu biệt thực cao cấp Sonasea Residences (4),Tiền thỏa thuận đền bù dự án Khu biệt thực cao cấp Sonasea Residences (4),Tiền thỏa thuận đền bù dự án Khu biệt thực cao cấp Sonasea Residences (4),278.616.788.343,-,-,-,278616788343.0,,,
Thuế TNCN phải thu CBCNV,Thuế TNCN phải thu CBCNV,Thuế TNCN phải thu CBCNV,1.531.559.987,-,1.431.307.888,-,1531559987.0,,1431307888.0,
Công ty CP Đầu tư và Phát triển du lịch Văn Đồn (5),Công ty CP Đầu tư và Phát triển du lịch Văn Đồn (5),Công ty CP Đầu tư và Phát triển du lịch Văn Đồn (5),270.000.000.000,,-,,270000000000.0,,,
Công ty CP Đầu tư và Phát triển Nha Trang (5),Công ty CP Đầu tư và Phát triển Nha Trang (5),Công ty CP Đầu tư và Phát triển Nha Trang (5),5.790.000.000,,-,,5790000000.0,,,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,4.451.096.190,,1.827.141.274,,4451096190.0,,1827141274.0,
Dự nợ phải trả khác,Dự nợ phải trả khác,Dự nợ phải trả khác,92.500.000,-,310.282.540,,92500000.0,,310282540.0,
b) Dài hạn,b) Dài hạn,b) Dài hạn,1.692.084.000,-,1.692.084.000,-,1692084000.0,,1692084000.0,
Phải thu khác,Phải thu khác,Phải thu khác,1.692.084.000,-,1.692.084.000,-,1692084000.0,,1692084000.0,
Ban đến bù giải phóng mặt bằng Quốc Oai (6),Ban đến bù giải phóng mặt bằng Quốc Oai (6),Ban đến bù giải phóng mặt bằng Quốc Oai (6),1.692.084.000,-,1.692.084.000,-,1692084000.0,,1692084000.0,
Cộng,Cộng,Cộng,605.303.009.723,(5.100.000.000),38.237.340.504,(5.100.000.000),605303009723.0,-5100000000.0,38237340504.0,-5100000000.0
