row_label_raw,row_label_full,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_1,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_2,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_3,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_4,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_5,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_1,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_2,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_3,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_4,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_5
"Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình",,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,"Nhà cửa, vật kiến trúc",Phương tiện vận tải,"Thiết bị, dụng cụ quản lý",Tài sản cố định khác,Đơn vị tính: VND Cộng,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,
Số dư ngày 01/01/2022,Nguyên giá > Số dư ngày 01/01/2022,Số dư ngày 01/01/2022,27.031.710.641,11.533.301.818,3.212.395.637,1.550.417.005,43.327.825.101,27031710641.0,11533301818.0,3212395637.0,1550417005.0,43327825101.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,1.289.418.182,41.809.091,55.500.000,1.386.727.273,,1289418182.0,41809091.0,55500000.0,1386727273.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(5.061.701.818),-,-,(5.061.701.818),,-5061701818.0,,,-5061701818.0
Số dư ngày 31/12/2022,Nguyên giá > Số dư ngày 31/12/2022,Số dư ngày 31/12/2022,27.031.710.641,7.761.018.182,3.254.204.728,1.605.917.005,39.652.850.556,27031710641.0,7761018182.0,3254204728.0,1605917005.0,39652850556.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,,,,,
Số dư ngày 01/01/2022,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2022,Số dư ngày 01/01/2022,7.360.699.909,8.526.762.911,2.823.871.325,1.550.417.005,20.261.751.150,7360699909.0,8526762911.0,2823871325.0,1550417005.0,20261751150.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,830.854.166,1.337.816.616,297.064.164,1.850.000,2.467.584.946,830854166.0,1337816616.0,297064164.0,1850000.0,2467584946.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.702.673.533),-,-,(4.702.673.533),,-4702673533.0,,,-4702673533.0
Số dư ngày 31/12/2022,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2022,Số dư ngày 31/12/2022,8.191.554.075,5.161.905.994,3.120.935.489,1.552.267.005,18.026.662.563,8191554075.0,5161905994.0,3120935489.0,1552267005.0,18026662563.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,
Tại ngày 01/01/2022,Giá trị còn lại > Tại ngày 01/01/2022,Tại ngày 01/01/2022,19.671.010.732,3.006.538.907,388.524.312,-,23.066.073.951,19671010732.0,3006538907.0,388524312.0,,23066073951.0
Tại ngày 31/12/2022,Giá trị còn lại > Tại ngày 31/12/2022,Tại ngày 31/12/2022,18.840.156.566,2.599.112.188,133.269.239,53.650.000,21.626.187.993,18840156566.0,2599112188.0,133269239.0,53650000.0,21626187993.0
