row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2022,Đơn vị tính: VND Năm 2021,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2022,numeric__Đơn vị tính: VND Năm 2021
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,271.903.811.267,97.676.257.001,1.0,,271903811267.0,97676257001.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và Bất động sản đầu tư,2. Điều chỉnh cho các khoản > - Khấu hao TSCĐ và Bất động sản đầu tư,- Khấu hao TSCĐ và Bất động sản đầu tư,02,,8.119.667.050,8.798.197.128,2.0,,8119667050.0,8798197128.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,,93.086.584.695,43.193.737.211,3.0,,93086584695.0,43193737211.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,,(405.463.904.101),(40.761.962.042),5.0,,-405463904101.0,-40761962042.0
- Chi phí lãi vay,2. Điều chỉnh cho các khoản > - Chi phí lãi vay,- Chi phí lãi vay,06,,8.238.240.198,2.259.513.236,6.0,,8238240198.0,2259513236.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,(24.115.600.891),111.165.742.534,8.0,,-24115600891.0,111165742534.0
"- Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,,(580.837.611.637),67.820.768.046,9.0,,-580837611637.0,67820768046.0
"- Tăng, giảm hàng tồn kho","2. Điều chỉnh cho các khoản > - Tăng, giảm hàng tồn kho","- Tăng, giảm hàng tồn kho",10,,(293.841.896.935),17.694.145.667,10.0,,-293841896935.0,17694145667.0
"- Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","- Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,361.423.047.881,(114.588.767.723),11.0,,361423047881.0,-114588767723.0
"- Tăng, giảm chi phí trả trước","2. Điều chỉnh cho các khoản > - Tăng, giảm chi phí trả trước","- Tăng, giảm chi phí trả trước",12,,2.276.151.491,3.538.936.428,12.0,,2276151491.0,3538936428.0
- Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản > - Tiền lãi vay đã trả,- Tiền lãi vay đã trả,14,,(7.993.377.184),(2.259.513.236),14.0,,-7993377184.0,-2259513236.0
- Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản > - Thuế thu nhập doanh nghiệp đã nộp,- Thuế thu nhập doanh nghiệp đã nộp,15,,(5.923.060.594),(24.333.790.681),15.0,,-5923060594.0,-24333790681.0
- Tiền chi khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản > - Tiền chi khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,17,,(8.554.771.572),(2.150.100.000),17.0,,-8554771572.0,-2150100000.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,(557.567.119.441),56.887.421.035,20.0,,-557567119441.0,56887421035.0
II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1. Tiền chỉ để mua sắm, xây dựng TSCĐ và các TSDH khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 1. Tiền chỉ để mua sắm, xây dựng TSCĐ và các TSDH khác","1. Tiền chỉ để mua sắm, xây dựng TSCĐ và các TSDH khác",21,,(1.386.727.273),(5.151.795.703),21.0,,-1386727273.0,-5151795703.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác",22,,727.272.727,2228.14500.000,22.0,,727272727.0,222814500000.0
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,(2.500.000.000),(312.300.000.000),23.0,,-2500000000.0,-312300000000.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,441.750.000.000,266.750.668.208,24.0,,441750000000.0,266750668208.0
5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,II. Lưu chuyển tiền từ hoạt động đầu tư > 5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,25,,(13.937.034.789),(21.644.345.000),25.0,,-13937034789.0,-21644345000.0
