row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2022,Đơn vị tính: VND 01/01/2022,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2022,numeric__Đơn vị tính: VND 01/01/2022
A TÀI SẢN NGĂN HẠN,A TÀI SẢN NGĂN HẠN,A TÀI SẢN NGĂN HẠN,100,,1.503.572.177.248,1.051.554.696.239,100.0,,1503572177248.0,1051554696239.0
I Tiền và các khoản tương đương tiền,I Tiền và các khoản tương đương tiền,I Tiền và các khoản tương đương tiền,110,V.1.,53.693.609.626,49.555.449.156,110.0,,53693609626.0,49555449156.0
1 Tiền,1 Tiền,1 Tiền,111,,12.678.283.351,49.555.449.156,111.0,,12678283351.0,49555449156.0
2 Các khoản tương đương tiền,2 Các khoản tương đương tiền,2 Các khoản tương đương tiền,112,,41.015.326.275,-,112.0,,41015326275.0,
II Đầu tư tài chính ngắn hạn,II Đầu tư tài chính ngắn hạn,II Đầu tư tài chính ngắn hạn,120,,2.500.000.000,338.000.000.000,120.0,,2500000000.0,338000000000.0
1 Đầu tư nắm giữ đến ngày đáo hạn,1 Đầu tư nắm giữ đến ngày đáo hạn,1 Đầu tư nắm giữ đến ngày đáo hạn,123,V.2.,2.500.000.000,338.000.000.000,123.0,,2500000000.0,338000000000.0
III Các khoản phải thu ngắn hạn,III Các khoản phải thu ngắn hạn,III Các khoản phải thu ngắn hạn,130,,911.389.287.781,421.076.171.188,130.0,,911389287781.0,421076171188.0
1 Phải thu ngắn hạn của khách hàng,1 Phải thu ngắn hạn của khách hàng,1 Phải thu ngắn hạn của khách hàng,131,V.3.,79.152.799.213,62.276.423.502,131.0,,79152799213.0,62276423502.0
2 Trả trước cho người bán ngắn hạn,2 Trả trước cho người bán ngắn hạn,2 Trả trước cho người bán ngắn hạn,132,V.4.,29.166.409.195,22.762.022.315,132.0,,29166409195.0,22762022315.0
3 Phải thu về cho vay ngắn hạn,3 Phải thu về cho vay ngắn hạn,3 Phải thu về cho vay ngắn hạn,135,V.5.,207.500.000.000,311.250.000.000,135.0,,207500000000.0,311250000000.0
4 Phải thu ngắn hạn khác,4 Phải thu ngắn hạn khác,4 Phải thu ngắn hạn khác,136,V.6.,603.610.925.723,36.545.256.504,136.0,,603610925723.0,36545256504.0
5 Dự phòng phải thu ngắn hạn khó đòi,5 Dự phòng phải thu ngắn hạn khó đòi,5 Dự phòng phải thu ngắn hạn khó đòi,137,,(8.040.846.350),(11.757.531.133),137.0,,-8040846350.0,-11757531133.0
IV Hàng tồn kho,IV Hàng tồn kho,IV Hàng tồn kho,140,V.7.,532.788.745.571,238.946.848.636,140.0,,532788745571.0,238946848636.0
1 Hàng tồn kho,1 Hàng tồn kho,1 Hàng tồn kho,141,,532.788.745.571,238.946.848.636,141.0,,532788745571.0,238946848636.0
V Tài sản ngắn hạn khác,V Tài sản ngắn hạn khác,V Tài sản ngắn hạn khác,150,,3.200.534.270,3.976.227.259,150.0,,3200534270.0,3976227259.0
1 Chi phí trả trước ngắn hạn,1 Chi phí trả trước ngắn hạn,1 Chi phí trả trước ngắn hạn,151,V.12.,2.555.464.030,3.976.227.259,151.0,,2555464030.0,3976227259.0
2 Thuế và các khoản khác phải thu Nhà nước,2 Thuế và các khoản khác phải thu Nhà nước,2 Thuế và các khoản khác phải thu Nhà nước,153,V.15.,645.070.240,-,153.0,,645070240.0,
B TÀI SẢN DÀI HẠN,B TÀI SẢN DÀI HẠN,B TÀI SẢN DÀI HẠN,200,,2.354.789.359.852,2.464.857.676.253,200.0,,2354789359852.0,2464857676253.0
I Các khoản phải thu dài hạn,I Các khoản phải thu dài hạn,I Các khoản phải thu dài hạn,210,,1.692.084.000,1.692.084.000,210.0,,1692084000.0,1692084000.0
1 Phải thu dài hạn khác,1 Phải thu dài hạn khác,1 Phải thu dài hạn khác,216,V.6.,1.692.084.000,1.692.084.000,216.0,,1692084000.0,1692084000.0
II Tài sản cố định,II Tài sản cố định,II Tài sản cố định,220,,22.253.428.139,24.317.067.091,220.0,,22253428139.0,24317067091.0
1 Tài sản cố định hữu hình,1 Tài sản cố định hữu hình,1 Tài sản cố định hữu hình,221,V.9.,21.626.187.993,23.066.073.951,221.0,,21626187993.0,23066073951.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,39.652.850.556,43.327.825.101,222.0,,39652850556.0,43327825101.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(18.026.662.563),(20.261.751.150),223.0,,-18026662563.0,-20261751150.0
2 Tài sản cố định vô hình,2 Tài sản cố định vô hình,2 Tài sản cố định vô hình,227,V.8.,627.240.146,1.250.993.140,227.0,,627240146.0,1250993140.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,3.634.471.346,3.634.471.346,228.0,,3634471346.0,3634471346.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(3.007.231.200),(2.383.478.206),229.0,,-3007231200.0,-2383478206.0
III Bất động sản đầu tư,III Bất động sản đầu tư,III Bất động sản đầu tư,230,V.10.,169.175.081.073,174.408.835.571,230.0,,169175081073.0,174408835571.0
