row_label_raw,row_label_full,col_0,01/01/2022,Số phải nộp trong năm,Số đã thực nộp trong năm,Đơn vị tính: VND31/12/2022,numeric__01/01/2022,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Đơn vị tính: VND31/12/2022
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế GTGT,Phải nộp > Thuế GTGT,Thuế GTGT,694.836.626,4.620.352.927,5.124.887.897,190.301.656,694836626.0,4620352927.0,5124887897.0,190301656.0
Thuế thu nhập doanh nghiệp (*),Phải nộp > Thuế thu nhập doanh nghiệp (*),Thuế thu nhập doanh nghiệp (*),5.483.345.598,(205.355.244),5.277.990.354,-,5483345598.0,-205355244.0,5277990354.0,
