row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2022,Đơn vị tính: VND 01/01/2022,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2022,numeric__Đơn vị tính: VND 01/01/2022
C,C,C,NỘ PHẢI TRẢ,300,,467.488.783.634,388.261.843.998,,300.0,,467488783634.0,388261843998.0
I,I,I,Nợ ngắn hạn,310,,359.733.022.311,275.378.960.709,,310.0,,359733022311.0,275378960709.0
1,1,1,Phải trả người bán ngắn hạn,311,V.13.,45.585.666.464,28.339.802.336,,311.0,,45585666464.0,28339802336.0
2,2,2,Người mua trả tiền trước ngắn hạn,312,V.14.,1.742.699.849,47.599.962.751,,312.0,,1742699849.0,47599962751.0
3,3,3,Thuế và các khoản phải nộp Nhà nước,313,V.15.,155.598.437.081,6.310.496.103,,313.0,,155598437081.0,6310496103.0
4,4,4,Phải trả người lao động,314,,4.710.920.707,1.755.581.046,,314.0,,4710920707.0,1755581046.0
5,5,5,Chỉ phí phải trả ngắn hạn,315,V.16.,151.818.182,153.713.172.125,,315.0,,151818182.0,153713172125.0
6,6,6,Doanh thu chưa thực hiện ngắn hạn,318,V.17.,3.551.318.403,2.872.665.156,,318.0,,3551318403.0,2872665156.0
7,7,7,Phải trả ngắn hạn khác,319,V.19.,129.072.696.202,15.837.699.128,,319.0,,129072696202.0,15837699128.0
8,8,8,Vay và nợ thuê tài chính ngắn hạn,320,V.18.,5.972.000.000,5.972.000.000,,320.0,,5972000000.0,5972000000.0
9,9,9,"Quỹ khen thưởng, phúc lợi",322,,13.347.465.423,12.977.582.064,,322.0,,13347465423.0,12977582064.0
II,II,II,Nợ dài hạn,330,,107.755.761.323,112.882.883.289,,330.0,,107755761323.0,112882883289.0
1,1,1,Doanh thu chưa thực hiện dài hạn,336,V.15.,75.306.206.774,77.623.320.802,,336.0,,75306206774.0,77623320802.0
2,2,2,Phải trả dài hạn khác,337,V.19.,32.449.554.549,35.259.562.487,,337.0,,32449554549.0,35259562487.0
D,D,D,VỐN CHỦ SỞ HỮU,400,,3.390.872.753.466,3.128.150.528.494,,400.0,,3390872753466.0,3128150528494.0
I,I,I,Vốn chủ sở hữu,410,V.20.,3.390.872.753.466,3.128.150.528.494,,410.0,,3390872753466.0,3128150528494.0
1,1,1,Vốn góp của chủ sở hữu,411,,2.573.399.850.000,2.573.399.850.000,,411.0,,2573399850000.0,2573399850000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.573.399.850.000,2.573.399.850.000,,,,2573399850000.0,2573399850000.0
2,2,2,Quỹ đầu tư phát triển,418,,89.038.288.016,84.575.960.550,,418.0,,89038288016.0,84575960550.0
3,3,3,Lợi nhuận sau thuế chưa phân phối,421,,728.434.615.450,470.174.717.944,,421.0,,728434615450.0,470174717944.0
,,,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,456.787.735.547,380.928.168.629,,,,456787735547.0,380928168629.0
,,,- LNST chưa phân phối năm nay,421b,,271.646.879.903,89.246.549.315,,,,271646879903.0,89246549315.0
TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,3.858.361.537.100,3.516.412.372.492,,440.0,,3858361537100.0,3516412372492.0
