row_label_raw,row_label_full,Thu tiền cho vay,Thu tiền cho vay_1,Thu tiền cho vay_2,numeric__Thu tiền cho vay_1,numeric__Thu tiền cho vay_2
Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,58.750.000.000,5.000.000.000,58750000000.0,5000000000.0
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,45.000.000.000,154.100.000.000,45000000000.0,154100000000.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,,
Công ty CP Phát triển nhà và đô thị Phú Quốc,Chi phí lãi vay > Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,244.863.014,-,244863014.0,
Lãi cho vay,Lãi cho vay,Lãi cho vay,Lãi cho vay,Lãi cho vay,,
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Lãi cho vay > Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,1.132.397.261,9.911.934.596,1132397261.0,9911934596.0
Công ty CP Đầu tư và Phát triển Phú Quốc,Lãi cho vay > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,5.648.732.877,6.540.743.150,5648732877.0,6540743150.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Lãi cho vay > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,7.999.410.961,5.838.468.494,7999410961.0,5838468494.0
Cổ tức nhận được,Cổ tức nhận được,Cổ tức nhận được,Cổ tức nhận được,Cổ tức nhận được,,
Công ty CP Phát triển dịch vụ C.E.O,Cổ tức nhận được > Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,1.657.500.000,3.315.000.000,1657500000.0,3315000000.0
Công ty CP Phát triển nhà và Đô thị Phú Quốc,Cổ tức nhận được > Công ty CP Phát triển nhà và Đô thị Phú Quốc,Công ty CP Phát triển nhà và Đô thị Phú Quốc,82.537.440.322,-,82537440322.0,
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Cổ tức nhận được > Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,270.000.000.000,-,270000000000.0,
Công ty CP Đầu tư và Phát triển Nha Trang,Cổ tức nhận được > Công ty CP Đầu tư và Phát triển Nha Trang,Công ty CP Đầu tư và Phát triển Nha Trang,20.790.000.000,-,20790000000.0,
Góp vốn vào công ty con,Góp vốn vào công ty con,Góp vốn vào công ty con,Góp vốn vào công ty con,Góp vốn vào công ty con,,
Góp vốn vào Công ty TNHH Quốc Tế C.E.O,Góp vốn vào công ty con > Góp vốn vào Công ty TNHH Quốc Tế C.E.O,Góp vốn vào Công ty TNHH Quốc Tế C.E.O,9.355.655.000,20.644.345.000,9355655000.0,20644345000.0
Góp vốn vào Công ty TNHH MTV Tư vấn thiết kế C.E.O,Góp vốn vào công ty con > Góp vốn vào Công ty TNHH MTV Tư vấn thiết kế C.E.O,Góp vốn vào Công ty TNHH MTV Tư vấn thiết kế C.E.O,4.581.379.789,1.000.000.000,4581379789.0,1000000000.0
