row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2015,Ngày 31 tháng 12năm 2014,numeric__Ngày 31 tháng 12năm 2015,numeric__Ngày 31 tháng 12năm 2014
Ngắn hạn,Ngắn hạn,Ngắn hạn,302.560.292,176.253.620,302560292.0,176253620.0
Tạm ứng cho nhân viên phục vụmục đích sản xuất kinh doanh,Tạm ứng cho nhân viên phục vụmục đích sản xuất kinh doanh,Tạm ứng cho nhân viên phục vụmục đích sản xuất kinh doanh,204.857.675,107.360.461,204857675.0,107360461.0
- Ông Phan Thanh Thù,- Ông Phan Thanh Thù,- Ông Phan Thanh Thù,136.263.600,-,136263600.0,
- Ông Mai Đình Hồng,- Ông Mai Đình Hồng,- Ông Mai Đình Hồng,-,27.441.261,,27441261.0
- Nhân viên khác,- Nhân viên khác,- Nhân viên khác,68.594.075,79.919.200,68594075.0,79919200.0
Lãi từ cho vay,Lãi từ cho vay,Lãi từ cho vay,77.470.619,46.764.005,77470619.0,46764005.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,20.231.998,22.129.154,20231998.0,22129154.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu từ bên khác,Trong đó: > Phải thu từ bên khác,Phải thu từ bên khác,212.948.729,171.590.670,212948729.0,171590670.0
Phải thu từ bên liên quan(Thuyết minh số 33),Trong đó: > Phải thu từ bên liên quan(Thuyết minh số 33),Phải thu từ bên liên quan(Thuyết minh số 33),89.611.563,4.662.950,89611563.0,4662950.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,75.877.608,39.699.791,75877608.0,39699791.0
Lãi từ cho vay,Trong đó: > Lãi từ cho vay,Lãi từ cho vay,27.421.314,-,27421314.0,
"Ký quỹ, ký cược","Trong đó: > Ký quỹ, ký cược","Ký quỹ, ký cược",11.823.112,6.389.030,11823112.0,6389030.0
Phải thu dài hạn khác,Trong đó: > Phải thu dài hạn khác,Phải thu dài hạn khác,36.633.182,33.310.761,36633182.0,33310761.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu từ bên khác,Trong đó: > Phải thu từ bên khác,Phải thu từ bên khác,52.528.516,39.699.791,52528516.0,39699791.0
Phải thu từ bên liên quan(Thuyết minh số 33),Trong đó: > Phải thu từ bên liên quan(Thuyết minh số 33),Phải thu từ bên liên quan(Thuyết minh số 33),23.349.092,-,23349092.0,
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,378.437.900,215.953.411,378437900.0,215953411.0
