row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước(trình bày lại –Thuyết minh số 37),numeric__Năm nay,numeric__Ngàn VNDNăm trước(trình bày lại –Thuyết minh số 37)
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,715.053.486,747.254.691,715053486.0,747254691.0
Điều chỉnh tăngLỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,Điều chỉnh tăngLỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,Điều chỉnh tăngLỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,123.640.211,5.505.439,123640211.0,5505439.0
Thay đối chi phí phải trả,Thay đối chi phí phải trả,Thay đối chi phí phải trả,149.512.019,24.722.108,149512019.0,24722108.0
Các khoản chi phí không được khấu trừ,Các khoản chi phí không được khấu trừ,Các khoản chi phí không được khấu trừ,47.750.201,2.340.754,47750201.0,2340754.0
Thay đối lợi nhuận nội bộ chưa thực hiện,Thay đối lợi nhuận nội bộ chưa thực hiện,Thay đối lợi nhuận nội bộ chưa thực hiện,44.450.642,61.792.272,44450642.0,61792272.0
Các khoản lỗ của các công ty con,Các khoản lỗ của các công ty con,Các khoản lỗ của các công ty con,42.767.708,18.053.088,42767708.0,18053088.0
Phân bổ lợi thế thương mại,Phân bổ lợi thế thương mại,Phân bổ lợi thế thương mại,6.365.806,16.715.381,6365806.0,16715381.0
Chia lỗ của công ty liên kết,Chia lỗ của công ty liên kết,Chia lỗ của công ty liên kết,1.225.021,-,1225021.0,
Các khoản khác,Các khoản khác,Các khoản khác,2.460.784,470.006,2460784.0,470006.0
Điều chỉnh giảmThu nhập từ hoạt động kinh doanh khôngthuộc diện nộp thuế TNDN,Điều chỉnh giảmThu nhập từ hoạt động kinh doanh khôngthuộc diện nộp thuế TNDN,Điều chỉnh giảmThu nhập từ hoạt động kinh doanh khôngthuộc diện nộp thuế TNDN,(1.086.533.478),(759.243.598),-1086533478.0,-759243598.0
Thặng dư từ việc thanh lý công ty con,Thặng dư từ việc thanh lý công ty con,Thặng dư từ việc thanh lý công ty con,(45.960.202),-,-45960202.0,
Lợi nhuận thuần điều chỉnh trước thuế vàchưa cán trừ lỗ năm trước,Lợi nhuận thuần điều chỉnh trước thuế vàchưa cán trừ lỗ năm trước,Lợi nhuận thuần điều chỉnh trước thuế vàchưa cán trừ lỗ năm trước,732.198,117.610.141,732198.0,117610141.0
Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,-,(1.748.114),,-1748114.0
Thu nhập chịu thuế uốc tính trong nămhiện hành,Thu nhập chịu thuế uốc tính trong nămhiện hành,Thu nhập chịu thuế uốc tính trong nămhiện hành,732.198,115.862.027,732198.0,115862027.0
Thuế TNDN hiện hành uốc tính,Thuế TNDN hiện hành uốc tính,Thuế TNDN hiện hành uốc tính,161.084,25.221.932,161084.0,25221932.0
Điều chỉnh thuế TNDN trích thiếu (thừa) cùacác năm trước,Điều chỉnh thuế TNDN trích thiếu (thừa) cùacác năm trước,Điều chỉnh thuế TNDN trích thiếu (thừa) cùacác năm trước,2.887.579,(2.186.449),2887579.0,-2186449.0
Chi phí thuế TNDN hiện hành uốc tínhtrong năm,Chi phí thuế TNDN hiện hành uốc tínhtrong năm,Chi phí thuế TNDN hiện hành uốc tínhtrong năm,3.048.663,23.035.483,3048663.0,23035483.0
Thuế TNDN phải nộp đầu năm,Thuế TNDN phải nộp đầu năm,Thuế TNDN phải nộp đầu năm,699.945,2.309.178,699945.0,2309178.0
Thanh lý công ty con,Thanh lý công ty con,Thanh lý công ty con,3.764.232,-,3764232.0,
Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(6.794.852),(24.644.716),-6794852.0,-24644716.0
Thuế TNDN phải nộp cuối năm,Thuế TNDN phải nộp cuối năm,Thuế TNDN phải nộp cuối năm,717.988,699.945,717988.0,699945.0
Trong đó:Thuế TNDN phải trả (Thuyết minh số 20),Trong đó:Thuế TNDN phải trả (Thuyết minh số 20),Trong đó:Thuế TNDN phải trả (Thuyết minh số 20),2.229.860,4.464.177,2229860.0,4464177.0
Thuế TNDN trả trước (i),Thuế TNDN trả trước (i),Thuế TNDN trả trước (i),(1.511.872),(3.764.232),-1511872.0,-3764232.0
