row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,"Phương tiện vận tải, truyền dẫn",Thiết bị văn phòng,Vật nuôi và cây trồng lâu năm,Tài sản khác,Ngàn VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,"numeric__Phương tiện vận tải, truyền dẫn",numeric__Thiết bị văn phòng,numeric__Vật nuôi và cây trồng lâu năm,numeric__Tài sản khác,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Vào ngày 31 tháng 12 năm 2014,Nguyên giá > Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,1.221.103.529,1.202.083.826,947.311.879,1.145.439,1.135.705.300,11.870.016,4.519.219.989,1221103529.0,1202083826.0,947311879.0,1145439.0,1135705300.0,11870016.0,4519219989.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,474.725.738,170.043.416,168.262.306,-,-,1.713.131,814.744.591,474725738.0,170043416.0,168262306.0,,,1713131.0,814744591.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,54.588.331,118.340.853,35.717.888,38.449,726.639.126,211.515,935.536.160,54588331.0,118340853.0,35717888.0,38449.0,726639126.0,211515.0,935536160.0
Tăng từ mua công ty con,Nguyên giá > Tăng từ mua công ty con,Tăng từ mua công ty con,1.347.855,45.685.149,21.320.075,-,-,3.560.726,71.913.805,1347855.0,45685149.0,21320075.0,,,3560726.0,71913805.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,26.812.539,28.742.716,18.873.414,19.615,22.619.609,267.159,97.335.052,26812539.0,28742716.0,18873414.0,19615.0,22619609.0,267159.0,97335052.0
Giảm do thanh lý công ty con,Nguyên giá > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(25.539.940),(1.066.977),(54.824.062),(74.570),(84.894.986),-,(166.400.535),-25539940.0,-1066977.0,-54824062.0,-74570.0,-84894986.0,,-166400535.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(1.015.942),(13.057.068),(11.995.404),-,-,-,(26.068.434),-1015942.0,-13057068.0,-11995404.0,,,,-26068434.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(23.280),(764.915),769.326,-,-,(4.411),(23.280),-23280.0,-764915.0,769326.0,,,-4411.0,-23280.0
Vào ngày 31 tháng 12 năm 2015,Nguyên giá > Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,1.751.998.830,1.550.006.980,1.125.435.420,1.128.933,1.800.069.049,17.618.136,6.246.257.348,1751998830.0,1550006980.0,1125435420.0,1128933.0,1800069049.0,17618136.0,6246257348.0
Trong đó: Đã khấu hao hết,Nguyên giá > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,1.543.390,2.649.780,3.788.805,401.521,-,517.161,8.900.657,1543390.0,2649780.0,3788805.0,401521.0,,517161.0,8900657.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,,
Vào ngày 31 tháng 12 năm 2014,Hao mòn lũy kế > Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,113.230.789,153.827.136,81.348.327,810.648,31.640.193,2.483.041,383.340.134,113230789.0,153827136.0,81348327.0,810648.0,31640193.0,2483041.0,383340134.0
Khẩu hao trong năm,Hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,74.050.470,105.504.603,83.459.616,184.375,56.647.418,2.459.395,322.305.877,74050470.0,105504603.0,83459616.0,184375.0,56647418.0,2459395.0,322305877.0
Tăng từ mua công ty con,Hao mòn lũy kế > Tăng từ mua công ty con,Tăng từ mua công ty con,-,2.534.033,1.867.342,-,-,-,4.401.375,,2534033.0,1867342.0,,,,4401375.0
Chênh lệch tỷ giá,Hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,2.310.524,3.374.716,1.651.103,12.210,658.630,32.156,8.039.339,2310524.0,3374716.0,1651103.0,12210.0,658630.0,32156.0,8039339.0
Giảm do thanh lý công ty con,Hao mòn lũy kế > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(187.859),(1.264.236),(4.605.719),-,(1.396.896),-,(7.454.710),-187859.0,-1264236.0,-4605719.0,,-1396896.0,,-7454710.0
Thanh lý trong năm,Hao mòn lũy kế > Thanh lý trong năm,Thanh lý trong năm,(6.807.147),(627.845),(8.169.866),(74.570),(2.162.018),-,(17.841.446),-6807147.0,-627845.0,-8169866.0,-74570.0,-2162018.0,,-17841446.0
Phân loại lại,Hao mòn lũy kế > Phân loại lại,Phân loại lại,(9.053),928.388,(928.388),-,-,-,(9.053),-9053.0,928388.0,-928388.0,,,,-9053.0
Vào ngày 31 tháng 12 năm 2015,Hao mòn lũy kế > Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,182.587.724,264.276.795,154.622.415,932.663,85.387.327,4.974.592,692.781.516,182587724.0,264276795.0,154622415.0,932663.0,85387327.0,4974592.0,692781516.0
