row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2014(trình bày lại – Thuyết minh số 37),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2015,numeric__Ngày 31 tháng 12 năm 2014(trình bày lại – Thuyết minh số 37)
300,300,300,C. NỘ PHẢI TRÀ,,17.221.964.230,10.269.183.720,,,17221964230.0,10269183720.0
310,310,310,I. Nợ ngắn hạn,,7.030.109.890,6.281.915.475,,,7030109890.0,6281915475.0
311,311,311,1. Phải trả người bán ngắn hạn,18,630.784.705,247.166.661,,18.0,630784705.0,247166661.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,19,787.064.002,126.467.449,,19.0,787064002.0,126467449.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,20,148.940.710,256.814.835,,20.0,148940710.0,256814835.0
314,314,314,4. Phải trả người lao động,,27.580.067,27.209.734,,,27580067.0,27209734.0
315,315,315,5. Chi phí phải trả ngắn hạn,21,474.504.889,34.999.733,,21.0,474504889.0,34999733.0
319,319,319,6. Phải trả ngắn hạn khác,22,1.834.130.467,1.861.194.194,,22.0,1834130467.0,1861194194.0
320,320,320,7. Vay ngắn hạn,23,3.127.105.050,3.728.062.869,,23.0,3127105050.0,3728062869.0
330,330,330,II. Nợ dài hạn,,10.191.854.340,3.987.268.245,,,10191854340.0,3987268245.0
333,333,333,1. Chi phí phải trả dài hạn,21,-,200.000.000,,21.0,,200000000.0
337,337,337,2. Phải trả dài hạn khác,22,847.958.773,166.523.184,,22.0,847958773.0,166523184.0
338,338,338,3. Vay dài hạn,23,9.108.541.327,3.620.745.061,,23.0,9108541327.0,3620745061.0
341,341,341,4. Thuế thu nhập hoãn lại phải trả,32.2,235.354.240,-,,322.0,235354240.0,
400,400,400,D. VỐN CHỦ SỞ HỮU,,9.879.627.905,6.855.088.236,,,9879627905.0,6855088236.0
410,410,410,I. Vốn chủ sở hữu,,9.879.627.905,6.855.088.236,,,9879627905.0,6855088236.0
411,411,411,1. Vốn cổ phần,24.1,7.081.438.950,3.990.670.000,,241.0,7081438950.0,3990670000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,7.081.438.950,3.990.670.000,,,7081438950.0,3990670000.0
412,412,412,2. Thặng dư vốn cổ phần,24.1,2.550.810,1.295.347.000,,241.0,2550810.0,1295347000.0
417,417,417,3. Chênh lệch tỷ giá hối đoái,24.1,443.148.354,143.518.473,,241.0,443148354.0,143518473.0
421,421,421,4. Lợi nhuận sau thuế chưa phân phối,24.1,2.126.574.755,1.404.012.572,,241.0,2126574755.0,1404012572.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,1.419.585.622,758.990.567,,,1419585622.0,758990567.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,706.989.133,645.022.005,,,706989133.0,645022005.0
429,429,429,5. Lợi ích cổ đông không kiểm soát,25,225.915.036,21.540.191,,25.0,225915036.0,21540191.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,27.101.592.135,17.124.271.956,,,27101592135.0,17124271956.0
