row_label_raw,row_label_full,Ngân hàng,Ngày 31 tháng12 năm 2015Ngân VND,Nguyên tệUSD,Thời hạn thanh toán,Lãi suất,Tài sản thế chấp,numeric__Ngày 31 tháng12 năm 2015Ngân VND,numeric__Nguyên tệUSD,numeric__Thời hạn thanh toán,numeric__Lãi suất,numeric__Tài sản thế chấp
"BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định",,,,,
Hợp đồng vay số01/2013/BIDV-Attapeu ngày 18 tháng 2 năm2013,"BIDV, Chi nhánh Bình Định > Hợp đồng vay số01/2013/BIDV-Attapeu ngày 18 tháng 2 năm2013",Hợp đồng vay số01/2013/BIDV-Attapeu ngày 18 tháng 2 năm2013,663.612.357,29.436.736,Hoàn trả trong 120 tháng kể từ ngày giải ngân đầu tiên (ngày 18 tháng 4 năm 2013),"Lãi suất huy động tiết kiệm của BIDV bằng USD kỳ hạn 12 tháng trả lãi sau + 5,00% một năm (2015: 7,00)","121 căn hộ thuộc cao óc Hoàng Văn Thụ, Thành phố Pleiku, Tĩnh Gia Lai; quyền sử dụng \( 4.320 \text{ m}^{2} \) đất tại hồ sinh thái Đống Đa, Thành phố Quy Nhơn, Tĩnh Bình Đình; nhà máy đáGrannite HAGL tại Huyện Đắk Đoa, Tĩnh Gia Lai; quyền sử dụng \( 6.993,2 \text{ m}^{2} \) đất tại Phường Phú Đồng, Thành phố Pleiku, Tĩnh Gia Lai; số dư tiền gửi không kỳ hạn 5.850.088 ngân VND của Công ty Cổ phần Hoàng Anh Gia Lai tại BIDV; 136 căn hộ thuộc khu căn hộ cao cấp HAGL-BIDV tại Tĩnh ĐakLak; quyền thuê đất bao gồm 5.588 ha cao su và 2.093,6 ha cọ đầu tại Tĩnh Attapeu, Lào và tài sản gắn liên trên đất",663612357.0,29436736.0,,,
Hợp đồng vay số01/2012/BIDV-HAGL_Attapeu ngày 22 tháng 3 năm 2012,"BIDV, Chi nhánh Bình Định > Hợp đồng vay số01/2012/BIDV-HAGL_Attapeu ngày 22 tháng 3 năm 2012",Hợp đồng vay số01/2012/BIDV-HAGL_Attapeu ngày 22 tháng 3 năm 2012,581.001.018,25.772.235,Hoàn trả trong 72 tháng kể từ ngày giải ngân đầu tiên (ngày 23 tháng 4 năm 2012),"Lãi suất huy động tiết kiệm của BIDV bằng Đô la Mỹ kỳ hạn 12 tháng trả lãi sau + 3,50% một năm (2015: 7,00 – 8,00)","Quyền sử dụng đất quy mô 51 ha tại Huyện Phou Vong, Tĩnh Attapeu, Lào",581001018.0,25772235.0,,,
