row_label_raw,row_label_full,Phải thu về cho vay ngắn hạn,-,228.989.648,228.989.648_1,numeric__-,numeric__228.989.648,numeric__228.989.648_1
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,626.979.445,(450.725.825),176.253.620,626979445.0,-450725825.0,176253620.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,107.790.141,(107.790.141),-,107790141.0,-107790141.0,
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,280.000.000,296.215.557,576.215.557,280000000.0,296215557.0,576215557.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,-,39.699.791,39.699.791,,39699791.0,39699791.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,904.603.228,(11.310.276),893.292.952,904603228.0,-11310276.0,893292952.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,6.389.030,(6.389.030),-,6389030.0,-6389030.0,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,3.739.373.145,(11.310.276),3.728.062.869,3739373145.0,-11310276.0,3728062869.0
Phụ trồi hợp nhất công ty con,Phụ trồi hợp nhất công ty con,Phụ trồi hợp nhất công ty con,162.047.860,(162.047.860),-,162047860.0,-162047860.0,
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,1.241.964.712,162.047.860,1.404.012.572,1241964712.0,162047860.0,1404012572.0
,,,,,Ngân VND,,,
,,,Năm trước(dã được trìnhbảy trước đây),Phân loại lại,Năm trước(được phân loại lại),,,
