row_label_raw,row_label_full,col_0,col_1,Ngàn VND,numeric__col_1,numeric__Ngàn VND
Ngày 31 tháng,Ngày 31 tháng,Ngày 31 tháng,Phân loại lại,Ngày 31 tháng,,
12 năm 2014,12 năm 2014,12 năm 2014,,12 năm 2014,,
(dã được trìnhbảy trước đây),(dã được trìnhbảy trước đây),(dã được trìnhbảy trước đây),,(được phânloại lại),,
