row_label_raw,row_label_full,col_0,Năm trước(trước điều chỉnh),Điều chính lại,Ngàn VNDNăm trước(sau điều chỉnh),numeric__Năm trước(trước điều chỉnh),numeric__Điều chính lại,numeric__Ngàn VNDNăm trước(sau điều chỉnh)
BÁO CÁO LƯU CHUYÊN TIÊN TỆ HỢP NHẤT,BÁO CÁO LƯU CHUYÊN TIÊN TỆ HỢP NHẤT,BÁO CÁO LƯU CHUYÊN TIÊN TỆ HỢP NHẤT,BÁO CÁO LƯU CHUYÊN TIÊN TỆ HỢP NHẤT,BÁO CÁO LƯU CHUYÊN TIÊN TỆ HỢP NHẤT,BÁO CÁO LƯU CHUYÊN TIÊN TỆ HỢP NHẤT,,,
Lợi nhuận kế toán trước thuế,BÁO CÁO LƯU CHUYÊN TIÊN TỆ HỢP NHẤT > Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,770.509.591,(23.254.900),747.254.691,770509591.0,-23254900.0,747254691.0
Chi phí lãi vay,BÁO CÁO LƯU CHUYÊN TIÊN TỆ HỢP NHẤT > Chi phí lãi vay,Chi phí lãi vay,254.599.639,23.254.900,277.854.539,254599639.0,23254900.0,277854539.0
