row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (trình bày lại – Thuyết minh số 37),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (trình bày lại – Thuyết minh số 37)
10,10,10,1. Doanh thu thuần về bán hàng và cung cấp dịch vụ,27.1,4.730.680.433,2.212.251.019,,271.0,4730680433.0,2212251019.0
11,11,11,2. Giá vốn hàng bán và dịch vụ cung cấp,28,(3.493.579.993),(1.184.492.722),,28.0,-3493579993.0,-1184492722.0
20,20,20,3. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,1.237.100.440,1.027.758.297,,,1237100440.0,1027758297.0
21,21,21,4. Doanh thu hoạt động tài chính,27.2,164.880.632,38.081.784,,272.0,164880632.0,38081784.0
22,22,22,5. Chỉ phí tài chính Trong đó: Chỉ phí lãi vay,29,(383.460.219) (364.676.504),(293.137.307) (277.854.539),,29.0,,
23,23,23,5. Chỉ phí tài chính Trong đó: Chỉ phí lãi vay,29,(383.460.219) (364.676.504),(293.137.307) (277.854.539),,29.0,,
24,24,24,6. Phản lỗ trong công ty liên kết,15.2,(1.225.021),-,,152.0,-1225021.0,
25,25,25,7. Chỉ phí bán hàng,30,(72.904.454),(15.753.442),,30.0,-72904454.0,-15753442.0
26,26,26,8. Chỉ phí quản lý doanh nghiệp,30,(120.958.460),(87.274.811),,30.0,-120958460.0,-87274811.0
30,30,30,9. Lợi nhuận thuần từ hoạt động kinh doanh,,823.432.918,669.674.521,,,823432918.0,669674521.0
31,31,31,10. Thu nhập khác,31,2.233.328,81.090.939,,31.0,2233328.0,81090939.0
32,32,32,11. Chỉ phí khác,31,(110.612.760),(3.510.769),,31.0,-110612760.0,-3510769.0
40,40,40,12. (Lỗ) lợi nhuận khác,31,(108.379.432),77.580.170,,31.0,-108379432.0,77580170.0
50,50,50,13. Tổng lợi nhuận kế toán trước thuế,,715.053.486,747.254.691,,,715053486.0,747254691.0
51,51,51,14. Chỉ phí thuế TNDN hiện hành,32.1,(3.048.663),(23.035.483),,321.0,-3048663.0,-23035483.0
52,52,52,15. Thu nhập thuế thu nhập hoãn lại,32.2,32.003.555,11.601.025,,322.0,32003555.0,11601025.0
60,60,60,16. Lợi nhuận sau thuế TNDN,,744.008.378,735.820.233,,,744008378.0,735820233.0
61,61,61,17. Lợi nhuận sau thuế của công ty mẹ,,724.591.678,735.618.472,,,724591678.0,735618472.0
62,62,62,18. Lợi nhuận sau thuế của cổ đông không kiểm soát,25,19.416.700,201.761,,25.0,19416700.0,201761.0
70,70,70,19. Lãi cơ bản trên cổ phiếu (VND),26,1.093,1.233,,26.0,1093.0,1233.0
71,71,71,20. Lãi suy giảm trên cổ phiếu (VND),26,914,1.013,,26.0,914.0,1013.0
