row_label_raw,row_label_full,"Bên cho vay > Công ty Cổ phần Hoàng Anh Gia Lai, Công ty mẹ (Thuyết minh số 33) > Hợp đồng Hợp tác Kinh doanh số HTKD/HAGL – BSTN ngày 28 tháng 8 năm 2015 > Hợp đồng vay số 04/2014/HĐV-HAGLngày 1 tháng 4 năm 2014 > Hợp đồng vay số 25-07/2015/HĐV-HAGLngày 25 tháng 7 năm 2015 > Hợp đồng vay số 03/2014/HĐV-HAGLngày 6 tháng 11 năm 2014 > Hợp đồng vay số 0507/2015/HTKD/HAGL-CSHAQM ngày 5 tháng 7 năm 2015 > Hợp đồng vay số 01/HĐVHAGL-ADMngày 11 tháng 11 năm 2015 > Hợp đồng vay số 05-01/2014/HĐV-HAGLngày 28 tháng 3 năm 2014 > Hợp đồng vay số 20082012/HĐV-HAGLngày 20 tháng 8 năm 2012 – Phụ lục số20082012/HĐV-HAGL-PL1 ngày 20 tháng 8năm 2015 > Hợp đồng vay số 01/2011/HĐV-HAGL ngày 28tháng 12 năm 2011 – Phụ lục số 01/2011/HĐV-HAGL_PL4 ngày 28 tháng 12 năm 2014 > Hợp đồng vay số 05/2012/HĐV-HAGLngày 28 tháng 4 năm 2012 > Hợp đồng vay số 03/2012/HĐV-HAGLngày 28 tháng 4 năm 2012 > Hợp đồng vay số 02/2015/HĐV-HAGLngày 6 tháng 1 năm 2015 > Hợp đồng vay số 02/2011/HĐV-HAGL ngày 28tháng 12 năm 2011 - Phụ lục số 02/2011/HĐV-HAGL_PL3 ngày 28 tháng 12 năm 2014 > Hợp đồng vay số 05-02/2014/HĐV-HAGLngày 28 tháng 3 năm 2014 > Hợp đồng vay số 01/2013/HĐV-HAGLngày 17 tháng 5 năm 2013 > Hợp đồng vay số 09/12/2014/HĐV-HAGLngày 9 tháng 12 năm 2014 > Hợp đồng vay số 04/2015/HĐV-HAGLngày 6 tháng 1 năm 2015","Ngày 31 tháng12 năm 2015 > Ngàn VND > Công ty Cổ phần Hoàng Anh Gia Lai, Công ty mẹ (Thuyết minh số 33) > 600.000.000 > 500.000.000 > 350.000.000 > 300.000.000 > 295.000.000 > 200.000.000 > 150.000.000 > 120.872.963 > 120.000.000 > 100.000.000 > 99.278.400 > 80.000.000 > 66.073.000 > 10.225.000 > 2.000.000","Thời hạnthanh toán > Công ty Cổ phần Hoàng Anh Gia Lai, Công ty mẹ (Thuyết minh số 33) > 36 tháng kể tửngày ký hợp đồng > 60 tháng kể tửngày ký hợp đồng > 36 tháng kể tửngày ký hợp đồng > 60 tháng kể tửngày ký hợp đồng > 36 tháng kể tửngày ký hợp đồng > 60 tháng kể tửngày ký hợp đồng > 36 tháng kể tửngày ký hợp đồng","Lãi suất%/ năm > Công ty Cổ phần Hoàng Anh Gia Lai, Công ty mẹ (Thuyết minh số 33) > 10,77 > 12,00 > 10,00 –10,35 > 10,87 > 10,00 > 12,00 > 16,00 > 12,00 > 14,00 –17,00 > 14,00 > 10,87 > 11,93 > 10,87 > 15,00 > 12,00 > 10,87","numeric__Ngày 31 tháng12 năm 2015 > Ngàn VND > Công ty Cổ phần Hoàng Anh Gia Lai, Công ty mẹ (Thuyết minh số 33) > 600.000.000 > 500.000.000 > 350.000.000 > 300.000.000 > 295.000.000 > 200.000.000 > 150.000.000 > 120.872.963 > 120.000.000 > 100.000.000 > 99.278.400 > 80.000.000 > 66.073.000 > 10.225.000 > 2.000.000","numeric__Thời hạnthanh toán > Công ty Cổ phần Hoàng Anh Gia Lai, Công ty mẹ (Thuyết minh số 33) > 36 tháng kể tửngày ký hợp đồng > 60 tháng kể tửngày ký hợp đồng > 36 tháng kể tửngày ký hợp đồng > 60 tháng kể tửngày ký hợp đồng > 36 tháng kể tửngày ký hợp đồng > 60 tháng kể tửngày ký hợp đồng > 36 tháng kể tửngày ký hợp đồng","numeric__Lãi suất%/ năm > Công ty Cổ phần Hoàng Anh Gia Lai, Công ty mẹ (Thuyết minh số 33) > 10,77 > 12,00 > 10,00 –10,35 > 10,87 > 10,00 > 12,00 > 16,00 > 12,00 > 14,00 –17,00 > 14,00 > 10,87 > 11,93 > 10,87 > 15,00 > 12,00 > 10,87"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.443.449.363,,,3443449363.0,,
Trong đó :Vay dài hạnVay dài hạn đến hạn trả,Trong đó :Vay dài hạnVay dài hạn đến hạn trả,Trong đó :Vay dài hạnVay dài hạn đến hạn trả,3.377.388.43066.060.933,,,3.377388430660609e+17,,
