row_label_raw,row_label_full,col_0,Ngày 31 tháng12 năm 2015,Ngày 31 tháng 12năm 2014(trình bày lai –Thuyết minh số 37),numeric__Ngày 31 tháng12 năm 2015,numeric__Ngày 31 tháng 12năm 2014(trình bày lai –Thuyết minh số 37)
Ngắn hạn,Ngắn hạn,Ngắn hạn,474.504.889,34.999.733,474504889.0,34999733.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,330.277.520,12.329.868,330277520.0,12329868.0
Chi phí xây dựng,Chi phí xây dựng,Chi phí xây dựng,127.785.507,-,127785507.0,
Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,16.441.862,22.669.865,16441862.0,22669865.0
Dài hạn,Dài hạn,Dài hạn,-,200.000.000,,200000000.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,-,200.000.000,,200000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,474.504.889,234.999.733,474504889.0,234999733.0
