row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước(trình bày lại -- Thuyết minh số 37),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước(trình bày lại -- Thuyết minh số 37)
,,,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lợi nhuận kè toán trước thuế Điều chỉnh cho các khoản:,,715.053.486,747.254.691,,,715053486.0,747254691.0
02,02,02,Khẩu hao và hao mòn (bao gồm phân bổ lợi thế thương mại),,333.420.043,207.711.208,,,333420043.0,207711208.0
03,03,03,Các khoản dự phòng,,5.655.836,1.579.705,,,5655836.0,1579705.0
04,04,04,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,,328.995,3.075.619,,,328995.0,3075619.0
05,05,05,Lãi từ hoạt động đầu tư,,(52.746.866),(103.091.422),,,-52746866.0,-103091422.0
06,06,06,Chi phí lãi vay,29,364.676.504,277.854.539,,29.0,364676504.0,277854539.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động,,1.366.387.998,1.134.384.340,,,1366387998.0,1134384340.0
09,09,09,Giảm (tăng) các khoản phải thu,,344.086.017,(1.122.393.120),,,344086017.0,-1122393120.0
10,10,10,Tăng hàng tồn kho,,(2.180.235.216),(343.116.971),,,-2180235216.0,-343116971.0
11,11,11,Tăng các khoản phải trả,,2.159.563.563,35.082.810,,,2159563563.0,35082810.0
12,12,12,Giảm chi phí trả trước,,66.793.246,19.590.454,,,66793246.0,19590454.0
14,14,14,Tiền lãi vay đã trả,,(371.302.612),(257.139.267),,,-371302612.0,-257139267.0
15,15,15,Thuế thu nhập doanh nghiệp đã nộp,32.1,(6.794.852),(24.644.716),,321.0,-6794852.0,-24644716.0
17,17,17,Tiền chi khác cho hoạt động kinh doanh,,(265.314),(661.536),,,-265314.0,-661536.0
20,20,20,Lưu chuyển tiền thuần từ (sử dụng vào) hoạt động kinh doanh,,1.378.232.830,(558.898.006),,,1378232830.0,-558898006.0
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,Tiền chi để mua sắm và xây dựng tài sản cố định,,(4.421.246.855),(1.907.144.790),,,-4421246855.0,-1907144790.0
22,22,22,"Tiền thu do thanh lý, nhượng bán tài sản cố định",,27.568.222,348.899.272,,,27568222.0,348899272.0
23,23,23,Tiền chi cho các đơn vị khác vay,,(969.807.867),(895.542.788),,,-969807867.0,-895542788.0
24,24,24,Tiền thu hồi cho vay,,304.157.896,688.976.082,,,304157896.0,688976082.0
25,25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,,(1.852.343.193),(38.361.030),,,-1852343193.0,-38361030.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,425.663.640,-,,,425663640.0,
27,27,27,"Tiền thu lãi cho vay, lãi tiền gửi",,28.114.041,912.003,,,28114041.0,912003.0
30,30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(6.457.894.116),(1.802.261.251),,,-6457894116.0,-1802261251.0
