row_label_raw,row_label_full,col_0,Ngân VNDGiá trị,numeric__Ngân VNDGiá trị
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,-,
Phát sinh từ mua trong năm,Vào ngày 31 tháng 12 năm 2014 > Phát sinh từ mua trong năm,Phát sinh từ mua trong năm,438.189.885,438189885.0
Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2014 > Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,438.189.885,438189885.0
Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,
Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,-,
Phân bổ trong năm,Vào ngày 31 tháng 12 năm 2014 > Phân bổ trong năm,Phân bổ trong năm,(4.815.224),-4815224.0
Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2014 > Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,(4.815.224),-4815224.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,-,
Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2014 > Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,433.374.661,433374661.0
