row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,2.233.328,81.090.939,2233328.0,81090939.0
Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,-,80.381.723,,80381723.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,2.233.328,709.216,2233328.0,709216.0
Chi phí khác,Chi phí khác,Chi phí khác,(110.612.760),(3.510.769),-110612760.0,-3510769.0
Chi phí thanh lý tài sản ngành khoáng sản,Chi phí thanh lý tài sản ngành khoáng sản,Chi phí thanh lý tài sản ngành khoáng sản,(59.062.258),-,-59062258.0,
Khấu hao tài sản ngưng sử dụng,Khấu hao tài sản ngưng sử dụng,Khấu hao tài sản ngưng sử dụng,(3.521.561),-,-3521561.0,
Chi phí thanh lý tài sản khác,Chi phí thanh lý tài sản khác,Chi phí thanh lý tài sản khác,(2.732.538),-,-2732538.0,
Các khoản phạt,Các khoản phạt,Các khoản phạt,(3.266.826),(2.318.584),-3266826.0,-2318584.0
Chi phí khác,Chi phí khác,Chi phí khác,(42.029.577),(1.192.185),-42029577.0,-1192185.0
(Lỗ) LỢI NHUẬN KHÁC,(Lỗ) LỢI NHUẬN KHÁC,(Lỗ) LỢI NHUẬN KHÁC,(108.379.432),77.580.170,-108379432.0,77580170.0
