row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2015,Ngàn VNDNgày 31 tháng 12năm 2014,numeric__Ngày 31 tháng 12năm 2015,numeric__Ngàn VNDNgày 31 tháng 12năm 2014
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,2.378.243.787,532.495.604,2378243787.0,532495604.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chi phí nuôi bò thịt (*),Trong đó: > Chi phí nuôi bò thịt (*),Chi phí nuôi bò thịt (*),1.417.725.816,141.250.534,1417725816.0,141250534.0
Hoạt động sản xuất,Trong đó: > Hoạt động sản xuất,Hoạt động sản xuất,486.992.056,346.933.204,486992056.0,346933204.0
Hợp đồng xây dựng,Trong đó: > Hợp đồng xây dựng,Hợp đồng xây dựng,473.525.915,44.311.866,473525915.0,44311866.0
Nguyên vật liệu,Trong đó: > Nguyên vật liệu,Nguyên vật liệu,410.514.950,305.221.847,410514950.0,305221847.0
Giá trị các căn họ sẵn sàng để bán,Trong đó: > Giá trị các căn họ sẵn sàng để bán,Giá trị các căn họ sẵn sàng để bán,116.436.784,170.579.766,116436784.0,170579766.0
Thành phẩm,Trong đó: > Thành phẩm,Thành phẩm,35.923.410,114.732.141,35923410.0,114732141.0
"Công cụ, dụng cụ","Trong đó: > Công cụ, dụng cụ","Công cụ, dụng cụ",17.412.328,17.290.299,17412328.0,17290299.0
Hàng hóa,Trong đó: > Hàng hóa,Hàng hóa,12.971.621,316.840,12971621.0,316840.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,2.971.502.880,1.140.636.497,2971502880.0,1140636497.0
Dự phòng giảm giá hàng tồn kho,Trong đó: > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(5.182.807),,-5182807.0,
GIÁ TRỊ THUÀN,Trong đó: > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,2.966.320.073,1.140.636.497,2966320073.0,1140636497.0
