row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Chương trình phần mềm,Ngàn VND Tống cộng,numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm,numeric__Ngàn VND Tống cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Vào ngày 31 tháng 12 năm 2014,Nguyên giá > Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,-,48.197.185,48.197.185,,48197185.0,48197185.0
Tăng từ mua công ty con,Nguyên giá > Tăng từ mua công ty con,Tăng từ mua công ty con,6.648.075,-,6.648.075,6648075.0,,6648075.0
Vào ngày 31 tháng 12 năm 2015,Nguyên giá > Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,6.648.075,48.197.185,54.845.260,6648075.0,48197185.0,54845260.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Vào ngày 31 tháng 12 năm 2014,Hao mòn lũy kế > Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,-,5.684.340,5.684.340,,5684340.0,5684340.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,249.303,6.049.639,6.298.942,249303.0,6049639.0,6298942.0
Vào ngày 31 tháng 12 năm 2015,Hao mòn lũy kế > Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,249.303,11.733.979,11.983.282,249303.0,11733979.0,11983282.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Vào ngày 31 tháng 12 năm 2014,Giá trị còn lại > Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,-,42.512.845,42.512.845,,42512845.0,42512845.0
Vào ngày 31 tháng 12 năm 2015,Giá trị còn lại > Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,6.398.772,36.463.206,42.861.978,6398772.0,36463206.0,42861978.0
