row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,numeric__Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,numeric__Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,numeric__Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,numeric__Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,numeric__Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,211.758.485,1.900.012.812,70.863.312,29.616.410,2.212.251.019,211758485.0,1900012812.0,70863312.0,29616410.0,2212251019.0
Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,,,,,
Tải sản cố định hữu hình,Chi phí hình thành TSCĐ > Tải sản cố định hữu hình,Tải sản cố định hữu hình,133.633.647,834.896.791,755.647.556,-,1.724.177.994,133633647.0,834896791.0,755647556.0,,1724177994.0
Tải sản cố định vô hình,Chi phí hình thành TSCĐ > Tải sản cố định vô hình,Tải sản cố định vô hình,47.863.975,-,-,-,47.863.975,47863975.0,,,,47863975.0
Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Tải sản bộ phận,Các thông tin bộ phận khác > Tải sản bộ phận,Tải sản bộ phận,2.317.286.589,10.277.340.922,3.577.454.732,-,16.172.082.243,2317286589.0,10277340922.0,3577454732.0,,16172082243.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,46.804.781,,,,,46804781.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,248.460.551,,,,,248460551.0
Tải sản không phân bổ,Các thông tin bộ phận khác > Tải sản không phân bổ,Tải sản không phân bổ,,,,,656.924.381,,,,,656924381.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,17.124.271.956,,,,,17124271956.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,2.109.732.826,2.316.020.039,304.927.568,-,4.730.680.433,2109732826.0,2316020039.0,304927568.0,,4730680433.0
Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,,,,,
Tải sản cố định hữu hình,Chi phí hình thành TSCĐ > Tải sản cố định hữu hình,Tải sản cố định hữu hình,715.848.330,2.483.005.561,589.213.313,-,3.788.067.204,715848330.0,2483005561.0,589213313.0,,3788067204.0
Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Tải sản bộ phận,Các thông tin bộ phận khác > Tải sản bộ phận,Tải sản bộ phận,3.944.178.249,14.141.251.807,7.406.784.670,-,25.492.214.726,3944178249.0,14141251807.0,7406784670.0,,25492214726.0
Tiền của Nhóm Công ty,Các thông tin bộ phận khác > Tiền của Nhóm Công ty,Tiền của Nhóm Công ty,,,,,331.961.020,,,,,331961020.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,271.950.970,,,,,271950970.0
Tải sản không phân bổ,Các thông tin bộ phận khác > Tải sản không phân bổ,Tải sản không phân bổ,,,,,1.005.465.419,,,,,1005465419.0
