row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Giao dịch,Ngày 31 tháng12 năm 2015,Ngày 31 tháng12 năm 2014,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Ngày 31 tháng12 năm 2015,numeric__Ngày 31 tháng12 năm 2014
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phầnHoàng Anh Gia Lai,Phải trả người bán ngắn hạn > Công ty Cổ phầnHoàng Anh Gia Lai,Công ty Cổ phầnHoàng Anh Gia Lai,Công ty mẹ,Mua tài sản cố địnhMua vật tưThi công xây dựng,259.900.187149.236.38122.180.171,48.671.74328.542.14122.442.100,,,2.5990018714923637e+25,4.8671743285421414e+23
Công ty Cổ phầnXây dựng Cầuđường Hoàng AnhGia Lai,Phải trả người bán ngắn hạn > Công ty Cổ phầnXây dựng Cầuđường Hoàng AnhGia Lai,Công ty Cổ phầnXây dựng Cầuđường Hoàng AnhGia Lai,Bênliên quan,Thi công xây dựng,9.660.688,1.271.684,,,9660688.0,1271684.0
Công ty Cổ phầnChăn nuôi Gia Lai,Phải trả người bán ngắn hạn > Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai,Bênliên quan,Mua tài sản cố định,6.945.437,,,,6945437.0,
Công ty Cổ phầnKhoáng sản HoàngAnh Gia Lai,Phải trả người bán ngắn hạn > Công ty Cổ phầnKhoáng sản HoàngAnh Gia Lai,Công ty Cổ phầnKhoáng sản HoàngAnh Gia Lai,Bênliên quan,Mua nguyên vật liệuMua tài sản,2.677.446-,3.471.3493.493.692,,,,34713493493692.0
Công ty Cổ phầnBệnh viện HoàngAnh Gia Lai,Phải trả người bán ngắn hạn > Công ty Cổ phầnBệnh viện HoàngAnh Gia Lai,Công ty Cổ phầnBệnh viện HoàngAnh Gia Lai,Bênliên quan,Dịch vụ khámchữa bệnh,254.786,30.109,,,254786.0,30109.0
Khác,Phải trả người bán ngắn hạn > Khác,Khác,Bên liên quan,Mua nguyên vật liệu,348.799,4.039.272,,,348799.0,4039272.0
