row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2015,Ngày 31 tháng 12năm 2014,numeric__Ngày 31 tháng 12năm 2015,numeric__Ngày 31 tháng 12năm 2014
Ngắn hạn,Ngắn hạn,Ngắn hạn,265.641.262,228.989.648,265641262.0,228989648.0
Cho vay bên liên quan (Thuyết minh số 33),Cho vay bên liên quan (Thuyết minh số 33),Cho vay bên liên quan (Thuyết minh số 33),173.855.867,123.436.539,173855867.0,123436539.0
Cho vay các công ty và cá nhân khác,Cho vay các công ty và cá nhân khác,Cho vay các công ty và cá nhân khác,91.785.395,105.553.109,91785395.0,105553109.0
- Công ty TNHH Phát triển Nông nghiệp Samaki,- Công ty TNHH Phát triển Nông nghiệp Samaki,- Công ty TNHH Phát triển Nông nghiệp Samaki,91.785.395,-,91785395.0,
- Công ty TNHH Hoàng Anh Lymphat,- Công ty TNHH Hoàng Anh Lymphat,- Công ty TNHH Hoàng Anh Lymphat,-,92.807.498,,92807498.0
- Công ty khác,- Công ty khác,- Công ty khác,-,12.745.611,,12745611.0
Dài hạn,Dài hạn,Dài hạn,1.307.804.207,576.215.557,1307804207.0,576215557.0
Cho vay bên liên quan (Thuyết minh số 33),Cho vay bên liên quan (Thuyết minh số 33),Cho vay bên liên quan (Thuyết minh số 33),1.245.353.038,280.000.000,1245353038.0,280000000.0
Cho vay các công ty khác,Cho vay các công ty khác,Cho vay các công ty khác,62.451.169,296.215.557,62451169.0,296215557.0
- Công ty TNHH Dara Rattanakiri,- Công ty TNHH Dara Rattanakiri,- Công ty TNHH Dara Rattanakiri,44.035.648,136.533.071,44035648.0,136533071.0
- Công ty TNHH Nông nghiệp Daun Penh,- Công ty TNHH Nông nghiệp Daun Penh,- Công ty TNHH Nông nghiệp Daun Penh,-,155.601.407,,155601407.0
- Công ty khác,- Công ty khác,- Công ty khác,18.415.521,4.081.079,18415521.0,4081079.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.573.445.469,805.205.205,1573445469.0,805205205.0
