row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2015,Ngày 31 tháng 12năm 2014,numeric__Ngày 31 tháng 12năm 2015,numeric__Ngày 31 tháng 12năm 2014
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,3.127.105.050,3.728.062.869,3127105050.0,3728062869.0
Vay dài hạn trái phiếu đến hạn trả(Thuyết minh 23.1),Vay dài hạn trái phiếu đến hạn trả(Thuyết minh 23.1),Vay dài hạn trái phiếu đến hạn trả(Thuyết minh 23.1),300.000.000,1.988.689.724,300000000.0,1988689724.0
Vay ngắn hạn ngân hàng (Thuyết minh số 23.3),Vay ngắn hạn ngân hàng (Thuyết minh số 23.3),Vay ngắn hạn ngân hàng (Thuyết minh số 23.3),2.101.643.091,828.650.337,2101643091.0,828650337.0
Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 23.4),Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 23.4),Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 23.4),659.401.026,270.571.455,659401026.0,270571455.0
Vay dài hạn bên liên quan đến hạn trả(Thuyết minh 23.5),Vay dài hạn bên liên quan đến hạn trả(Thuyết minh 23.5),Vay dài hạn bên liên quan đến hạn trả(Thuyết minh 23.5),66.060.933,640.151.353,66060933.0,640151353.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,9.108.541.327,3.620.745.061,9108541327.0,3620745061.0
Vay dài hạn trái phiếu (Thuyết minh số 23.2),Vay dài hạn trái phiếu (Thuyết minh số 23.2),Vay dài hạn trái phiếu (Thuyết minh số 23.2),1.700.000.000,-,1700000000.0,
Vay dài hạn ngân hàng (Thuyết minh số 23.4),Vay dài hạn ngân hàng (Thuyết minh số 23.4),Vay dài hạn ngân hàng (Thuyết minh số 23.4),4.031.152.897,2.388.747.061,4031152897.0,2388747061.0
Vay dài hạn bên liên quan (Thuyết minh số 23.5),Vay dài hạn bên liên quan (Thuyết minh số 23.5),Vay dài hạn bên liên quan (Thuyết minh số 23.5),3.377.388.430,1.231.998.000,3377388430.0,1231998000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,12.235.646.377,7.348.807.930,12235646377.0,7348807930.0
