row_label_raw,row_label_full,Chi phí tài chính,(269.882.407),(23.254.900),(293.137.307),numeric__(269.882.407),numeric__(23.254.900),numeric__(293.137.307)
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,(254.599.639),(23.254.900),(277.854.539),-254599639.0,-23254900.0,-277854539.0
Lợi nhuận thuần từ hoạt động,Lợi nhuận thuần từ hoạt động,Lợi nhuận thuần từ hoạt động,,,,,,
kinh doanh,Lợi nhuận thuần từ hoạt động > kinh doanh,kinh doanh,692.929.421,(23.254.900),669.674.521,692929421.0,-23254900.0,669674521.0
Tổng lợi nhuận kế toán trước thuế,Lợi nhuận thuần từ hoạt động > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,770.509.591,(23.254.900),747.254.691,770509591.0,-23254900.0,747254691.0
Lợi nhuận kế toán sau thuế TNDN,Lợi nhuận thuần từ hoạt động > Lợi nhuận kế toán sau thuế TNDN,Lợi nhuận kế toán sau thuế TNDN,759.075.133,(23.254.900),735.820.233,759075133.0,-23254900.0,735820233.0
Lợi nhuận kế toán sau thuế của công ty mẹ,Lợi nhuận thuần từ hoạt động > Lợi nhuận kế toán sau thuế của công ty mẹ,Lợi nhuận kế toán sau thuế của công ty mẹ,758.688.046,(23.069.574),735.618.472,758688046.0,-23069574.0,735618472.0
Lợi nhuận kế toán sau thuế của cổ đông không kiểm soát,Lợi nhuận thuần từ hoạt động > Lợi nhuận kế toán sau thuế của cổ đông không kiểm soát,Lợi nhuận kế toán sau thuế của cổ đông không kiểm soát,387.087,(185.326),201.761,387087.0,-185326.0,201761.0
Lãi cơ bản trên cổ phiếu (VND),Lợi nhuận thuần từ hoạt động > Lãi cơ bản trên cổ phiếu (VND),Lãi cơ bản trên cổ phiếu (VND),1.901,(668),1.233,1901.0,-668.0,1233.0
