row_label_raw,row_label_full,col_0,Ngàn VND,Ngàn VND_1,numeric__Ngàn VND,numeric__Ngàn VND_1
,,,Năm nay,Năm trước,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,4.730.680.433,2.212.251.019,4730680433.0,2212251019.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu từ bán bỏ,Trong đó: > Doanh thu từ bán bỏ,Doanh thu từ bán bỏ,2.541.497.018,-,2541497018.0,
Doanh thu từ các sản phẩm ngành đường,Trong đó: > Doanh thu từ các sản phẩm ngành đường,Doanh thu từ các sản phẩm ngành đường,957.503.311,1.042.101.594,957503311.0,1042101594.0
Doanh thu từ bán hàng hóa,Trong đó: > Doanh thu từ bán hàng hóa,Doanh thu từ bán hàng hóa,352.436.994,200.038.951,352436994.0,200038951.0
Doanh thu từ bán bắp,Trong đó: > Doanh thu từ bán bắp,Doanh thu từ bán bắp,295.939.624,204.513.672,295939624.0,204513672.0
Doanh thu từ các hợp đồng xây dựng,Trong đó: > Doanh thu từ các hợp đồng xây dựng,Doanh thu từ các hợp đồng xây dựng,283.858.713,482.056.399,283858713.0,482056399.0
Doanh thu từ bán mũ cao su,Trong đó: > Doanh thu từ bán mũ cao su,Doanh thu từ bán mũ cao su,197.055.040,226.690.873,197055040.0,226690873.0
Doanh thu từ bán căn hộ,Trong đó: > Doanh thu từ bán căn hộ,Doanh thu từ bán căn hộ,56.972.736,35.078.692,56972736.0,35078692.0
Doanh thu từ cung cấp dịch vụ,Trong đó: > Doanh thu từ cung cấp dịch vụ,Doanh thu từ cung cấp dịch vụ,45.416.997,21.770.838,45416997.0,21770838.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,4.227.562.136,2.128.556.619,4227562136.0,2128556619.0
Doanh thu đối với bên liên quan,Trong đó: > Doanh thu đối với bên liên quan,Doanh thu đối với bên liên quan,503.118.297,83.694.400,503118297.0,83694400.0
