row_label_raw,row_label_full,col_0,Bàng cân đối kế toán hợp nhất,Bàng cân đối kế toán hợp nhất_1,Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất,Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bàng cân đối kế toán hợp nhất,numeric__Bàng cân đối kế toán hợp nhất_1,numeric__Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Ngày 31 tháng12 năm 2015,Ngày 31 tháng12 năm 2014,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Lợi nhuận nội bộ chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,32.558.351,25.282.838,7.275.513,13.594.300,32558351.0,25282838.0,7275513.0,13594300.0
Chênh lệch tỷ giá hối đoái,Tài sản thuế thu nhập hoãn lại > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,24.728.042,-,24.728.042,-,24728042.0,,24728042.0,
Lỗ tính thuế của các công ty con,Tài sản thuế thu nhập hoãn lại > Lỗ tính thuế của các công ty con,Lỗ tính thuế của các công ty con,-,-,-,(1.993.275),,,,-1993275.0
,,,57.286.393,25.282.838,,,57286393.0,25282838.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Chênh lệch giữa giá trị hợp lý và giá trị ghi sổ của tài sản thuần của công ty con tại thời điểm hợp nhất kinh doanh,Thuế thu nhập hoãn lại phải trả > Chênh lệch giữa giá trị hợp lý và giá trị ghi sổ của tài sản thuần của công ty con tại thời điểm hợp nhất kinh doanh,Chênh lệch giữa giá trị hợp lý và giá trị ghi sổ của tài sản thuần của công ty con tại thời điểm hợp nhất kinh doanh,(235.354.240),-,-,-,-235354240.0,,,
(Thuế thu nhập hoãn lại phải trả) tài sản thuế thu nhập hoãn lại thuần,Thuế thu nhập hoãn lại phải trả > (Thuế thu nhập hoãn lại phải trả) tài sản thuế thu nhập hoãn lại thuần,(Thuế thu nhập hoãn lại phải trả) tài sản thuế thu nhập hoãn lại thuần,(178.067.847),25.282.838,,,-178067847.0,25282838.0,,
Thu nhập thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại phải trả > Thu nhập thuế thu nhập hoãn lại,Thu nhập thuế thu nhập hoãn lại,,,32.003.555,11.601.025,,,32003555.0,11601025.0
