row_label_raw,row_label_full,col_0,Năm nay,Ngăn VNDNăm trước,numeric__Năm nay,numeric__Ngăn VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,72.904.454,15.753.442,72904454.0,15753442.0
Chi phí vận chuyển,Chi phí vận chuyển,Chi phí vận chuyển,53.943.100,6.069.346,53943100.0,6069346.0
Chi phí lương nhân viên,Chi phí lương nhân viên,Chi phí lương nhân viên,4.281.427,3.708.178,4281427.0,3708178.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,1.119.391,866.658,1119391.0,866658.0
Các chi phí khác,Các chi phí khác,Các chi phí khác,13.560.536,5.109.260,13560536.0,5109260.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,120.958.460,87.274.811,120958460.0,87274811.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,37.456.529,28.796.159,37456529.0,28796159.0
Chi phí lương nhân viên,Chi phí lương nhân viên,Chi phí lương nhân viên,30.125.457,22.547.597,30125457.0,22547597.0
Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,8.475.312,7.331.530,8475312.0,7331530.0
Các chi phí khác,Các chi phí khác,Các chi phí khác,44.901.162,28.599.525,44901162.0,28599525.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,193.862.914,103.028.253,193862914.0,103028253.0
