row_label_raw,row_label_full,Họ và tên,Chức vụ,col_2,numeric__Chức vụ,numeric__col_2
Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch,,,
Ông Vỗ Trường Sơn,Ông Vỗ Trường Sơn,Ông Vỗ Trường Sơn,Thành viên,bố nhiệm ngày 4 tháng 4 năm 2015,,
Ông Đoàn Nguyên Thu,Ông Đoàn Nguyên Thu,Ông Đoàn Nguyên Thu,Thành viên,bố nhiệm ngày 4 tháng 4 năm 2015,,
Ông Nguyễn Xuân Thắng,Ông Nguyễn Xuân Thắng,Ông Nguyễn Xuân Thắng,Thành viên,,,
Bà Võ Thị Huyền Lan,Bà Võ Thị Huyền Lan,Bà Võ Thị Huyền Lan,Thành viên,bố nhiệm ngày 4 tháng 4 năm 2015,,
Ông Nguyễn Ngọc Ánh,Ông Nguyễn Ngọc Ánh,Ông Nguyễn Ngọc Ánh,Thành viên,bố nhiệm ngày 4 tháng 4 năm 2015,,
Ông Nguyễn Quan Anh,Ông Nguyễn Quan Anh,Ông Nguyễn Quan Anh,Thành viên,bố nhiệm ngày 4 tháng 4 năm 2015,,
Ông Nguyễn Văn Minh,Ông Nguyễn Văn Minh,Ông Nguyễn Văn Minh,Thành viên,mãn nhiệm ngày 4 tháng 4 năm 2015,,
Ông Nguyễn Văn Sự,Ông Nguyễn Văn Sự,Ông Nguyễn Văn Sự,Thành viên,mãn nhiệm ngày 4 tháng 4 năm 2015,,
Ông Trương Ngọc Thành,Ông Trương Ngọc Thành,Ông Trương Ngọc Thành,Thành viên,mãn nhiệm ngày 4 tháng 4 năm 2015,,
Ông Phan Thanh Thủ,Ông Phan Thanh Thủ,Ông Phan Thanh Thủ,Thành viên,mãn nhiệm ngày 4 tháng 4 năm 2015,,
Ông Trần Quốc Huy,Ông Trần Quốc Huy,Ông Trần Quốc Huy,Thành viên,mãn nhiệm ngày 4 tháng 4 năm 2015,,
