row_label_raw,row_label_full,Thuế giá trị gia tăng,Ngày 31 tháng12 năm 2015 > 142.676.704,Ngày 31 tháng12 năm 2014 > 250.852.246,numeric__Ngày 31 tháng12 năm 2015 > 142.676.704,numeric__Ngày 31 tháng12 năm 2014 > 250.852.246
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.034.146,1.136.926,4034146.0,1136926.0
Thuế thu nhập doanh nghiệp (Thuyết minh số 32.1),Thuế thu nhập doanh nghiệp (Thuyết minh số 32.1),Thuế thu nhập doanh nghiệp (Thuyết minh số 32.1),2.229.860,4.464.177,2229860.0,4464177.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,361.486,,361486.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,148.940.710,256.814.835,148940710.0,256814835.0
