row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2015,Ngày 31 tháng 12năm 2014,numeric__Ngày 31 tháng 12năm 2015,numeric__Ngày 31 tháng 12năm 2014
Phải trả người bán hàng hóa và cung cấp dịch vụ,Phải trả người bán hàng hóa và cung cấp dịch vụ,Phải trả người bán hàng hóa và cung cấp dịch vụ,400.037.969,149.918.734,400037969.0,149918734.0
- Công ty Cổ phần Chăn nuôi Gia Lai,- Công ty Cổ phần Chăn nuôi Gia Lai,- Công ty Cổ phần Chăn nuôi Gia Lai,-,33.673.648,,33673648.0
- Khác,- Khác,- Khác,400.037.969,116.245.086,400037969.0,116245086.0
Phải trả người bán máy móc và thiết bị,Phải trả người bán máy móc và thiết bị,Phải trả người bán máy móc và thiết bị,164.346.595,50.354.127,164346595.0,50354127.0
Phải trả do mua cổ phần công ty con,Phải trả do mua cổ phần công ty con,Phải trả do mua cổ phần công ty con,61.490.000,-,61490000.0,
Phải trả nhà thầu xây dựng,Phải trả nhà thầu xây dựng,Phải trả nhà thầu xây dựng,4.910.141,46.893.800,4910141.0,46893800.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,630.784.705,247.166.661,630784705.0,247166661.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả bên khác,Trong đó: > Phải trả bên khác,Phải trả bên khác,179.580.810,135.204.571,179580810.0,135204571.0
Phải trả bên liên quan (Thuyết minh số 33),Trong đó: > Phải trả bên liên quan (Thuyết minh số 33),Phải trả bên liên quan (Thuyết minh số 33),451.203.895,111.962.090,451203895.0,111962090.0
