row_label_raw,row_label_full,Chi phí xây dựng cơ bản dở dang,6.266.089.389,164.964.543,6.431.053.932,numeric__6.266.089.389,numeric__164.964.543,numeric__6.431.053.932
Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,-,200.000.000,200.000.000,,200000000.0,200000000.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,1.276.813.665,(34.848.953),1.241.964.712,1276813665.0,-34848953.0,1241964712.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,21.726.695,(186.504),21.540.191,21726695.0,-186504.0,21540191.0
