row_label_raw,row_label_full,Công ty Cổ phầnHoàng Anh Gia Lai,Công ty mẹ,Mượn tiền vàchi phí lãi vayThu hộCổ tức phải trả,1.364.104.2291.993.113-,1.424.950.604125.853.48683.091.160,numeric__Công ty mẹ,numeric__Mượn tiền vàchi phí lãi vayThu hộCổ tức phải trả,numeric__1.364.104.2291.993.113-,numeric__1.424.950.604125.853.48683.091.160
Công ty TNHHĐiện Nậm Kông 3,Công ty TNHHĐiện Nậm Kông 3,Công ty TNHHĐiện Nậm Kông 3,Bênliên quan,Mượn tiền,405.141.333,-,,,405141333.0,
Công ty Cổ phầnĐiện Hoàng AnhAttapeu,Công ty Cổ phầnĐiện Hoàng AnhAttapeu,Công ty Cổ phầnĐiện Hoàng AnhAttapeu,Bênliên quan,Mượn tiền,3.196.958,2.714.596,,,3196958.0,2714596.0
Công ty TNHHKhoáng Sản HoàngAnh Sekong,Công ty TNHHKhoáng Sản HoàngAnh Sekong,Công ty TNHHKhoáng Sản HoàngAnh Sekong,Bênliên quan,Mượn tiền,1.478.796,-,,,1478796.0,
Khác,Khác,Khác,Bênliên quan,Thu hộ,555.587,206.152,,,555587.0,206152.0
,,,,,1.776.470.016,1.636.815.998,,,1776470016.0,1636815998.0
