row_label_raw,row_label_full,Ngân hàng,Ngày 31 tháng12 năm 2015 > Ngàn VND,Nguyên tệ > Ngàn VND,Nguyên tệ > USD,Thời hạn thanh toán,Lãi suất % năm,Tài sản thế chấp,numeric__Ngày 31 tháng12 năm 2015 > Ngàn VND,numeric__Nguyên tệ > Ngàn VND,numeric__Nguyên tệ > USD,numeric__Thời hạn thanh toán,numeric__Lãi suất % năm,numeric__Tài sản thế chấp
HD Bank – Chi nhánh Đồng Nai,HD Bank – Chi nhánh Đồng Nai,HD Bank – Chi nhánh Đồng Nai,HD Bank – Chi nhánh Đồng Nai,HD Bank – Chi nhánh Đồng Nai,HD Bank – Chi nhánh Đồng Nai,HD Bank – Chi nhánh Đồng Nai,HD Bank – Chi nhánh Đồng Nai,HD Bank – Chi nhánh Đồng Nai,,,,,,
Hợp đồng vay số0044/2014/HĐTDTDH-DNngày 25 tháng 4năm 2014,HD Bank – Chi nhánh Đồng Nai > Hợp đồng vay số0044/2014/HĐTDTDH-DNngày 25 tháng 4năm 2014,Hợp đồng vay số0044/2014/HĐTDTDH-DNngày 25 tháng 4năm 2014,874.362.225,449.999.993,18.827.073,Hoàn trả trong 60 tháng kể từ ngày giải ngân (ngày 25 tháng 4 năm 2014),"8,00% cho năm đầu tiên,sau đó lãi suất huy động USD thời gian 12 tháng của ngân hàng cộng 7% nhưng không vượt quá 8,00% một năm; điều chỉnh 2 lần mỗi năm (2015: 7,50 – 8,00 đối với vay USD và 12,00 – 13,00 đối với vay VND)","42.880.000 cổ phiếu HAG của Ông Đoàn Nguyên Đức và bà Hoàng Thị Ngọc Bích; và quyền thuê 9.173 ha đất tại Tính Rattaniki, Campuchia và tài sản gắn liền với đất",874362225.0,449999993.0,18827073.0,,,
HD Bank – Chi nhánh Đắk Lắk,HD Bank – Chi nhánh Đắk Lắk,HD Bank – Chi nhánh Đắk Lắk,HD Bank – Chi nhánh Đắk Lắk,HD Bank – Chi nhánh Đắk Lắk,HD Bank – Chi nhánh Đắk Lắk,HD Bank – Chi nhánh Đắk Lắk,HD Bank – Chi nhánh Đắk Lắk,HD Bank – Chi nhánh Đắk Lắk,,,,,,
Hợp đồng vay số1762/2015/HĐTDTDH-DNngày 2 tháng 12năm 2015,HD Bank – Chi nhánh Đắk Lắk > Hợp đồng vay số1762/2015/HĐTDTDH-DNngày 2 tháng 12năm 2015,Hợp đồng vay số1762/2015/HĐTDTDH-DNngày 2 tháng 12năm 2015,62.960.625,62.960.625,-,Hoàn trả trong 60 tháng kể từ ngày giải ngân (ngày 2 tháng 12 năm 2015),"Lãi suất thả nổi (2015: 11,25)","Tài sản hình thành tử vốn vay, đàn bò và bề con thuộc dự án chắn nuôi bò",62960625.0,62960625.0,,,,
TỔNG CỘNG,HD Bank – Chi nhánh Đắk Lắk > TỔNG CỘNG,TỔNG CỘNG,937.322.850,,,,,,937322850.0,,,,,
