row_label_raw,row_label_full,col_0,col_1,Ngàn VND,numeric__col_1,numeric__Ngàn VND
31 tháng 12,31 tháng 12,31 tháng 12,Điều chỉnh lại,31 tháng 12,,
năm 2014,năm 2014,năm 2014,,năm 2014,,
(trước điều chỉnh),(trước điều chỉnh),(trước điều chỉnh),,(sau điều chỉnh),,
