row_label_raw,row_label_full,Ngân hàng,Ngày 31 tháng12 năm 2015,Nguyên tệ,Nguyên tệ_1,Thời hạn thanh toán,Lãi suất,Tài sản thế chấp,numeric__Ngày 31 tháng12 năm 2015,numeric__Nguyên tệ,numeric__Nguyên tệ_1,numeric__Thời hạn thanh toán,numeric__Lãi suất,numeric__Tài sản thế chấp
Ngân hàng,Ngân hàng,Ngân hàng,Ngân VND,Ngân VND,USD,Thời hạn thanh toán,Lãi suất,Tài sản thế chấp,,,,,,
"Sacombank, Chi nhánh Đả Nẵng","Sacombank, Chi nhánh Đả Nẵng","Sacombank, Chi nhánh Đả Nẵng","Sacombank, Chi nhánh Đả Nẵng","Sacombank, Chi nhánh Đả Nẵng","Sacombank, Chi nhánh Đả Nẵng","Sacombank, Chi nhánh Đả Nẵng","Sacombank, Chi nhánh Đả Nẵng","Sacombank, Chi nhánh Đả Nẵng",,,,,,
Hợp đồng tin dụng số LD1400300153 ngày3 tháng 1 năm 2014,"Sacombank, Chi nhánh Đả Nẵng > Hợp đồng tin dụng số LD1400300153 ngày3 tháng 1 năm 2014",Hợp đồng tin dụng số LD1400300153 ngày3 tháng 1 năm 2014,262.454.605,-,12.420.658,Hoàn trả trong 60 tháng kể từ ngày giải ngân đầu tiên (ngày 3 tháng 1 năm 2014),"1,125% một tháng trong 3 tháng đầu, sau đó được điều chỉnh 4 lần mỗi nằm theo lãi suất tiền gửi ký hạn 13 tháng + 0,3333% một tháng (2015: 11,55 – 12,00 một năm)","Quyền sử dụng đất 20.000 \( m^{2} \) đất và tài sản gắn liền trên đất tại Phường Bình Thuận, Quận Hải Châu, Thành phố Đà Nẵng thuộc sở hữu của Công ty Cổ phần Xây dựng – Phát triển Nhà Hoàng Anh và 16 triệu cổ phiếu HAG của Chủ tịch Đoàn Nguyễn Đức",262454605.0,,12420658.0,,,
"Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức",,,,,,
Hợp đồng tin dụng số LD1333200419 ngày29 tháng 11 năm 2013,"Sacombank, Chi nhánh Thủ Đức > Hợp đồng tin dụng số LD1333200419 ngày29 tháng 11 năm 2013",Hợp đồng tin dụng số LD1333200419 ngày29 tháng 11 năm 2013,250.000.000,250.000.000,-,Hoàn trả trong 66 tháng kể từ ngày giải ngân đầu tiên (ngày 6 tháng 12 năm 2013),"Lãi suất thả nổi (2015: 12,00 một năm)","Quyền sử dụng đất 1.328,1 ha cao su và tài sản gắn liền trên đất tại Huyện Chuprong, Tỉnh Gia Lai của Công ty Cổ phần Cao su Trung Nguyên; quyền sử dụng đất 9.000 \( m^{2} \) và tài sản gắn liền trên đất tại Phường Bình Thuận, Quận Hải Châu, Thành phố Đà Nẵng của Công ty Cổ phần Đầu tư Sài Gòn Mẻ Kông – bên liên quan",250000000.0,250000000.0,,,,
