row_label_raw,row_label_full,col_0,Ngàn VNDGiá trị hợp lýtạm tính ghi nhậntại ngày mua,numeric__Ngàn VNDGiá trị hợp lýtạm tính ghi nhậntại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền,Tài sản > Tiền,Tiền,3.790.446,3790446.0
Phải thu ngắn hạn khác,Tài sản > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,1.590.916.619,1590916619.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,23.478.270,23478270.0
Phải thu về cho vay ngắn hạn,Tài sản > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,51.920.357,51920357.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,43.737.458,43737458.0
Chi phí xây dựng cơ bản dở dang,Tài sản > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,1.410.519.279,1410519279.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Vay ngắn hạn,Nợ phải trả > Vay ngắn hạn,Vay ngắn hạn,(1.757.985.034),-1757985034.0
Phải trả ngắn hạn,Nợ phải trả > Phải trả ngắn hạn,Phải trả ngắn hạn,(611.629.060),-611629060.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(113.083.535),-113083535.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,641.664.800,641664800.0
Lợi ích cố đông không kiểm soát,Nợ phải trả > Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,(183.193.375),-183193375.0
Lợi thể thương mại từ hợp nhất kinh doanh (Thuyết minh số 17),Nợ phải trả > Lợi thể thương mại từ hợp nhất kinh doanh (Thuyết minh số 17),Lợi thể thương mại từ hợp nhất kinh doanh (Thuyết minh số 17),242.223.575,242223575.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,(700.695.000),-700695000.0
