row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị dụng cụ quản lý Triệu VND,Tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị dụng cụ quản lý Triệu VND,numeric__Tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,971.175,731.537,127.985,126.462,63.179,2.020.338,971175.0,731537.0,127985.0,126462.0,63179.0,2020338.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,1.137,20.803,1.346,-,23.286,,1137.0,20803.0,1346.0,,23286.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(14.135),(30),(1.930),(2.882),(18.977),,-14135.0,-30.0,-1930.0,-2882.0,-18977.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,-,155.349,(42),6.308,284,161.899,,155349.0,-42.0,6308.0,284.0,161899.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,971.175,873.888,148.716,132.186,60.581,2.186.546,971175.0,873888.0,148716.0,132186.0,60581.0,2186546.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,75.415,546.102,94.843,103.896,55.857,876.113,75415.0,546102.0,94843.0,103896.0,55857.0,876113.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,24.679,101.359,12.071,16.590,4.767,159.466,24679.0,101359.0,12071.0,16590.0,4767.0,159466.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(14.110),(6),(1.887),(2.882),(18.885),,-14110.0,-6.0,-1887.0,-2882.0,-18885.0
Biến động khác,Hao mòn lũy kế > Biến động khác,Biến động khác,-,53,(42),(11),-,-,,53.0,-42.0,-11.0,,
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,100.094,633.404,106.866,118.588,57.742,1.016.694,100094.0,633404.0,106866.0,118588.0,57742.0,1016694.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,895.760,185.435,33.142,22.566,7.322,1.144.225,895760.0,185435.0,33142.0,22566.0,7322.0,1144225.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,871.081,240.484,41.850,13.598,2.839,1.169.852,871081.0,240484.0,41850.0,13598.0,2839.0,1169852.0
