row_label_raw,row_label_full,01,Mua sắm tài sản cố định,(34.377),(21.122),numeric__Mua sắm tài sản cố định,numeric__(34.377),numeric__(21.122)
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",1.377,7.297,,1377.0,7297.0
07,07,07,"Tiền chỉ đầu tư, góp vốn vào các đơn vị khác",(3.616.500),-,,-3616500.0,
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",25.933.712,-,,25933712.0,
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",3.602.480,6.472,,3602480.0,6472.0
II,II,II,LUỦ CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,25.886.692,(7.353),,25886692.0,-7353.0
