row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,65.127,664.381,729.508,65127.0,664381.0,729508.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,11.091,11.091,,11091.0,11091.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,107.125,107.125,,107125.0,107125.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,65.127,782.597,847.724,65127.0,782597.0,847724.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,868,466.132,467.000,868.0,466132.0,467000.0
Khẩu hao trong năm,Hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,-,105.051,105.051,,105051.0,105051.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,868,571.183,572.051,868.0,571183.0,572051.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,64.259,198.249,262.508,64259.0,198249.0,262508.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,64.259,211.414,275.673,64259.0,211414.0,275673.0
