row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2021 Triệu VND,31/12/2020 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2021 Triệu VND,numeric__31/12/2020 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,Tiền mặt và vàng,5,2.345.733,3.282.556,,5.0,2345733.0,3282556.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,6,10.197.536,5.264.256,,6.0,10197536.0,5264256.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng (“TCTD”) khác,7,63.516.754,23.336.733,,7.0,63516754.0,23336733.0
1,A > 1,1,Tiền gửi tại các TCTD khác,,46.741.856,17.610.950,,,46741856.0,17610950.0
2,A > 2,2,Cho vay các TCTD khác,,16.858.044,5.725.783,,,16858044.0,5725783.0
3,A > 3,3,Dự phòng cho vay các TCTD khác,,(83.146),-,,,-83146.0,
IV,A > IV,IV,Chứng khoán kinh doanh,8,6.970.941,493.214,,8.0,6970941.0,493214.0
1,A > 1,1,Chứng khoán kinh doanh,,7.005.061,493.214,,,7005061.0,493214.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(34.120),-,,,-34120.0,
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,121.468,-,,9.0,121468.0,
VI,A > VI,VI,Cho vay khách hàng,,275.100.956,218.119.141,,,275100956.0,218119141.0
1,A > 1,1,Cho vay khách hàng,10,279.870.018,220.944.599,,10.0,279870018.0,220944599.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,11,(4.769.062),(2.825.458),,11.0,-4769062.0,-2825458.0
VII,A > VII,VII,Hoạt động mua nợ,12,958.690,4.055.585,,12.0,958690.0,4055585.0
1,A > 1,1,Mua nợ,,965.935,4.086.232,,,965935.0,4086232.0
2,A > 2,2,Dự phòng rủi ro hoạt động mua nợ,,(7.245),(30.647),,,-7245.0,-30647.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,,75.075.497,75.631.091,,,75075497.0,75631091.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,13,75.313.521,75.959.904,,13.0,75313521.0,75959904.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,14,(238.024),(328.813),,14.0,-238024.0,-328813.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",15,5.940.728,7.905.616,,15.0,5940728.0,7905616.0
1,A > 1,1,Đầu tư vào công ty con,,5.691.018,7.667.035,,,5691018.0,7667035.0
4,A > 4,4,Đầu tư dài hạn khác,,249.731,238.602,,,249731.0,238602.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(21),(21),,,-21.0,-21.0
X,A > X,X,Tài sản cố định,,1.445.525,1.406.733,,,1445525.0,1406733.0
1,A > 1,1,Tài sản cố định hữu hình,16,1.169.852,1.144.225,,16.0,1169852.0,1144225.0
a,A > a,a,Nguyên giá,,2.186.546,2.020.338,,,2186546.0,2020338.0
b,A > b,b,Giá trị hao mòn lũy kế,,(1.016.694),(876.113),,,-1016694.0,-876113.0
3,A > 3,3,Tài sản cố định vô hình,17,275.673,262.508,,17.0,275673.0,262508.0
a,A > a,a,Nguyên giá,,847.724,729.508,,,847724.0,729508.0
b,A > b,b,Giá trị hao mòn lũy kế,,(572.051),(467.000),,,-572051.0,-467000.0
XII,A > XII,XII,Tài sản Có khác,18,42.768.494,20.562.859,,18.0,42768494.0,20562859.0
1,A > 1,1,Các khoản phải thu,,37.896.139,15.718.613,,,37896139.0,15718613.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,3.862.686,3.694.103,,,3862686.0,3694103.0
4,A > 4,4,Tài sản Có khác,,1.053.678,1.183.112,,,1053678.0,1183112.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,,(44.009),(32.969),,,-44009.0,-32969.0
,,,TỔNG TÀI SẢN,,484.442.322,360.057.784,,,484442322.0,360057784.0
