row_label_raw,row_label_full,Tại 31 tháng 12 năm 2020(Triệu VND),Quá hạn,Khônghương lãi,Dưới1 tháng,Từ 1 đến3 tháng,Từ 3 đến6 tháng,Từ 6 đến12 tháng,Từ 1 đến5 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn,numeric__Khônghương lãi,numeric__Dưới1 tháng,numeric__Từ 1 đến3 tháng,numeric__Từ 3 đến6 tháng,numeric__Từ 6 đến12 tháng,numeric__Từ 1 đến5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,3.282.556,-,-,-,-,-,-,3.282.556,,3282556.0,,,,,,,3282556.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,5.264.256,-,-,-,-,-,5.264.256,,,5264256.0,,,,,,5264256.0
Tiền gửi và cho vay các TCTD khác -gộp,Tài sản > Tiền gửi và cho vay các TCTD khác -gộp,Tiền gửi và cho vay các TCTD khác -gộp,-,-,13.552.211,7.751.081,1.569.017,417.805,46.619,-,23.336.733,,,13552211.0,7751081.0,1569017.0,417805.0,46619.0,,23336733.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,493.214,-,-,-,-,-,493.214,,,493214.0,,,,,,493214.0
Cho vay khách hàng và mua nợ - gộp,Tài sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,2.633.560,-,163.259.187,22.854.586,11.609.031,11.936.563,11.870.329,867.575,225.030.831,2633560.0,,163259187.0,22854586.0,11609031.0,11936563.0,11870329.0,867575.0,225030831.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,15.357,13.577.890,13.888.949,4.535.499,1.759.249,17.490.516,24.692.444,75.959.904,,15357.0,13577890.0,13888949.0,4535499.0,1759249.0,17490516.0,24692444.0,75959904.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,7.905.637,-,-,-,-,-,-,7.905.637,,7905637.0,,,,,,,7905637.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.406.733,-,-,-,-,-,-,1.406.733,,1406733.0,,,,,,,1406733.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,49.453,20.546.375,-,-,-,-,-,-,20.595.828,49453.0,20546375.0,,,,,,,20595828.0
,,,2.683.013,33.156.658,196.146.758,44.494.616,17.713.547,14.113.617,29.407.464,25.560.019,363.275.692,2683013.0,33156658.0,196146758.0,44494616.0,17713547.0,14113617.0,29407464.0,25560019.0,363275692.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,440,42,2.181,9.505,2.052,-,-,14.220,,440.0,42.0,2181.0,9505.0,2052.0,,,14220.0
"Tiền gửi và vay các TCTD, TCTC khác","Nợ phải trả > Tiền gửi và vay các TCTD, TCTC khác","Tiền gửi và vay các TCTD, TCTC khác",-,-,8.649.984,16.087.066,5.138.392,13.277.362,770.000,-,43.922.804,,,8649984.0,16087066.0,5138392.0,13277362.0,770000.0,,43922804.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,84.959.725,66.318.979,48.971.451,24.493.960,4.930.365,1.299,229.675.779,,,84959725.0,66318979.0,48971451.0,24493960.0,4930365.0,1299.0,229675779.0
