row_label_raw,row_label_full,Tại 31 tháng 12 năm 2021(Triệu VND),Quá hạn,Khônghương lãi,Dưới1 tháng,Từ 1 đến3 tháng,Từ 3 đến6 tháng,Từ 6 đến12 tháng,Từ 1 đến5 năm,Trên5 năm,Tổng cộng,numeric__Quá hạn,numeric__Khônghương lãi,numeric__Dưới1 tháng,numeric__Từ 1 đến3 tháng,numeric__Từ 3 đến6 tháng,numeric__Từ 6 đến12 tháng,numeric__Từ 1 đến5 năm,numeric__Trên5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,2.345.733,-,-,-,-,-,-,2.345.733,,2345733.0,,,,,,,2345733.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,10.197.536,-,-,-,-,-,10.197.536,,,10197536.0,,,,,,10197536.0
Tiền gửi và cho vay các TCTD khác -gộp,Tài sản > Tiền gửi và cho vay các TCTD khác -gộp,Tiền gửi và cho vay các TCTD khác -gộp,83.146,-,48.648.616,8.350.625,5.644.772,872.741,-,-,63.599.900,83146.0,,48648616.0,8350625.0,5644772.0,872741.0,,,63599900.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,7.005.061,-,-,-,-,-,7.005.061,,,7005061.0,,,,,,7005061.0
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,-,-,235.514,(7.004.741),(5.985.901),2.132.955,10.743.641,-,121.468,,,235514.0,-7004741.0,-5985901.0,2132955.0,10743641.0,,121468.0
Cho vay khách hàng và mua nợ - gộp,Tài sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,2.334.347,-,177.769.735,29.309.364,24.163.852,19.992.923,26.444.119,821.613,280.835.953,2334347.0,,177769735.0,29309364.0,24163852.0,19992923.0,26444119.0,821613.0,280835953.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,15.357,12.406.610,14.030.112,4.165.445,5.448.794,13.323.372,25.923.831,75.313.521,,15357.0,12406610.0,14030112.0,4165445.0,5448794.0,13323372.0,25923831.0,75313521.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,5.940.749,-,-,-,-,-,-,5.940.749,,5940749.0,,,,,,,5940749.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.445.525,-,-,-,-,-,-,1.445.525,,1445525.0,,,,,,,1445525.0
