row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay,"Tổng tiền gửi, tiền vay",Các cam kết tín dụng,Công cụ tài chính phải sinh,Kinh doanh và đầu tư chứng khoán,numeric__Tổng dư nợ cho vay,"numeric__Tổng tiền gửi, tiền vay",numeric__Các cam kết tín dụng,numeric__Công cụ tài chính phải sinh,numeric__Kinh doanh và đầu tư chứng khoán
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Trong nước,Trong nước,Trong nước,297.693.997,366.598.933,66.631.796,79.519,82.318.582,297693997.0,366598933.0,66631796.0,79519.0,82318582.0
Nước ngoài,Nước ngoài,Nước ngoài,-,30.653.024,-,41.949,-,,30653024.0,,41949.0,
,,,297.693.997,397.251.957,66.631.796,121.468,82.318.582,297693997.0,397251957.0,66631796.0,121468.0,82318582.0
