row_label_raw,row_label_full,03,Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,(261.960),-,numeric__Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,numeric__(261.960),numeric__-
06,06,06,Tiền thu được do bán cổ phiếu quỹ,150.000,170.000,,150000.0,170000.0
III,III,III,LU'U CHUYÊN TIỀN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,(111.960),170.000,,-111960.0,170000.0
IV,IV,IV,LU'U CHUYÊN TIỀN THUÀN TRONG NĂM,33.369.098,6.418.413,,33369098.0,6418413.0
V,V,V,TIỀN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIỀN ĐẦU NĂM,26.157.762,19.739.349,,26157762.0,19739349.0
VII,VII,VII,TIỀN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM (THUYẾT MINH 39),59.526.860,26.157.762,,59526860.0,26157762.0
