row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự phòng tài chính,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cổ phiếu quỹ,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ dự phòng tài chính,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cổ phiếu quỹ,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,25.299.680,692.720,435.984,1.963.271,1.222.774,10.267.844,(2.696.030),37.186.243,25299680.0,692720.0,435984.0,1963271.0,1222774.0,10267844.0,-2696030.0,37186243.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,7.445.129,-,7.445.129,,,,,,7445129.0,,7445129.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,372.183,744.368,-,(1.116.551),-,-,,,372183.0,744368.0,,-1116551.0,,
Phát hành cổ phiếu cho nhân viên từ cổ phiếu quỹ theo ESOP,Phát hành cổ phiếu cho nhân viên từ cổ phiếu quỹ theo ESOP,Phát hành cổ phiếu cho nhân viên từ cổ phiếu quỹ theo ESOP,-,(326.993),-,-,-,-,496.993,170.000,,-326993.0,,,,,496993.0,170000.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,25.299.680,365.727,808.167,2.707.639,1.222.774,16.596.422,(2.199.037),44.801.372,25299680.0,365727.0,808167.0,2707639.0,1222774.0,16596422.0,-2199037.0,44801372.0
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,25.299.680,365.727,808.167,2.707.639,1.222.774,16.596.422,(2.199.037),44.801.372,25299680.0,365727.0,808167.0,2707639.0,1222774.0,16596422.0,-2199037.0,44801372.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,31.087.583,-,31.087.583,,,,,,31087583.0,,31087583.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,1.374.353,2.748.707,3.600.000,(7.723.060),-,-,,,1374353.0,2748707.0,3600000.0,-7723060.0,,
Phát hành cổ phiếu đề trả cổ tức và phát hành cổ phiếu đề tăng vốn cổ phần (*),Phát hành cổ phiếu đề trả cổ tức và phát hành cổ phiếu đề tăng vốn cổ phần (*),Phát hành cổ phiếu đề trả cổ tức và phát hành cổ phiếu đề tăng vốn cổ phần (*),19.757.250,-,(807.872),,(3.600.000),(15.349.378),-,-,19757250.0,,-807872.0,,-3600000.0,-15349378.0,,
Phát hành cổ phiếu cho nhân viên từ cổ phiếu quỹ theo ESOP (**),Phát hành cổ phiếu cho nhân viên từ cổ phiếu quỹ theo ESOP (**),Phát hành cổ phiếu cho nhân viên từ cổ phiếu quỹ theo ESOP (**),-,(288.525),-,-,-,-,438.525,150.000,,-288525.0,,,,,438525.0,150000.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,45.056.930,77.202,1.374.648,5.456.346,1.222.774,24.611.567,(1.760.512),76.038.955,45056930.0,77202.0,1374648.0,5456346.0,1222774.0,24611567.0,-1760512.0,76038955.0
