row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021 (Triệu VND),Giá trị hợp lý thông qua BCKQHĐKD,Cho vay và phải thu,Giá trị ghi sổ Sẵn sàng để bán,Tài săn và nợ khác hạch toán theo giá trị phân bổ,Tổng cộng giá trị ghi sổ,Giá trị hợp lý,numeric__Giá trị hợp lý thông qua BCKQHĐKD,numeric__Cho vay và phải thu,numeric__Giá trị ghi sổ Sẵn sàng để bán,numeric__Tài săn và nợ khác hạch toán theo giá trị phân bổ,numeric__Tổng cộng giá trị ghi sổ,numeric__Giá trị hợp lý
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền mặt và vàng,Tài sản tài chính > Tiền mặt và vàng,Tiền mặt và vàng,-,2.345.733,-,-,2.345.733,2.345.733,,2345733.0,,,2345733.0,2345733.0
Tiền gửi tại NHNNVN,Tài sản tài chính > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,10.197.536,-,-,10.197.536,(*),,10197536.0,,,10197536.0,
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản tài chính > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,63.599.900,-,-,63.599.900,(*),,63599900.0,,,63599900.0,
Chứng khoán kinh doanh - gộp,Tài sản tài chính > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,7.005.061,-,-,-,7.005.061,(*),7005061.0,,,,7005061.0,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản tài chính > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,121.468,-,-,-,121.468,,121468.0,,,,121468.0,
Cho vay khách hàng và mua nợ - gộp,Tài sản tài chính > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,-,280.835.953,-,-,280.835.953,(*),,280835953.0,,,280835953.0,
Chứng khoán đầu tư sẵn sàng để bán - gộp,Tài sản tài chính > Chứng khoán đầu tư sẵn sàng để bán - gộp,Chứng khoán đầu tư sẵn sàng để bán - gộp,-,-,75.313.521,-,75.313.521,(*),,,75313521.0,,75313521.0,
Đầu tư dài hạn khác - gộp,Tài sản tài chính > Đầu tư dài hạn khác - gộp,Đầu tư dài hạn khác - gộp,-,-,249.731,-,249.731,(*),,,249731.0,,249731.0,
Tài sản tài chính khác,Tài sản tài chính > Tài sản tài chính khác,Tài sản tài chính khác,410.633,39.759.110,1.417.110,-,41.586.853,(*),410633.0,39759110.0,1417110.0,,41586853.0,
,,,7.537.162,396.738.232,76.980.362,-,481.255.756,,7537162.0,396738232.0,76980362.0,,481255756.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả tài chính > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,-,8.454.375,8.454.375,(*),,,,8454375.0,8454375.0,
"Tiền gửi và vay các TCTD, TCTC khác","Nợ phải trả tài chính > Tiền gửi và vay các TCTD, TCTC khác","Tiền gửi và vay các TCTD, TCTC khác",-,-,-,106.955.846,106.955.846,(*),,,,106955846.0,106955846.0,
Tiền gửi của khách hàng,Nợ phải trả tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,239.128.519,239.128.519,(*),,,,239128519.0,239128519.0,
"Vốn tài trợ, ủy thác đầu tư TCTD chịu rủi ro","Nợ phải trả tài chính > Vốn tài trợ, ủy thác đầu tư TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư TCTD chịu rủi ro",-,-,-,103.930,103.930,(*),,,,103930.0,103930.0,
Phát hành giấy tờ có giá,Nợ phải trả tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,42.609.287,42.609.287,(*),,,,42609287.0,42609287.0,
Các khoản nợ tài chính khác,Nợ phải trả tài chính > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,213.983,-,-,5.679.968,5.893.951,(*),213983.0,,,5679968.0,5893951.0,
,,,213.983,-,-,402.931.925,403.145.908,,213983.0,,,402931925.0,403145908.0,
