row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2023Triệu VND,31/12/2022Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2023Triệu VND,numeric__31/12/2022Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNNVN,15,1.670.837,67.314.816,,15.0,1670837.0,67314816.0
1,B > 1,1,Tiền gửi và vay Chính phủ và NHNNVN,,1.670.837,67.314.816,,,1670837.0,67314816.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,16,208.810.354,231.430.363,,16.0,208810354.0,231430363.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,195.386.877,222.964.448,,,195386877.0,222964448.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,13.423.477,8.465.915,,,13423477.0,8465915.0
III,B > III,III,Tiền gửi của khách hàng,17,1.401.599.396,1.244.500.889,,17.0,1401599396.0,1244500889.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,18,117.752,-,,18.0,117752.0,
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",19,365,3.298,,19.0,365.0,3298.0
VI,B > VI,VI,Phát hành giấy tờ có giá,20,20.093.780,25.393.775,,20.0,20093780.0,25393775.0
VII,B > VII,VII,Các khoản nợ khác,,41.273.140,106.105.392,,,41273140.0,106105392.0
1,B > 1,1,"Các khoản lãi, phí phải trả",21(a),19.513.976,12.467.149,,,19513976.0,12467149.0
3,B > 3,3,Các khoản phải trả và công nợ khác,21(b),21.759.164,93.638.243,,,21759164.0,93638243.0
,,,TỔNG NỘ PHẢI TRẢ,,1.673.565.624,1.674.748.533,,,1673565624.0,1674748533.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,22,,,,22.0,,
1,B > 1,1,Vốn của tổ chức tín dụng,,60.886.714,52.320.967,,,60886714.0,52320967.0
a,B > a,a,Vốn điều lệ,,55.890.913,47.325.166,,,55890913.0,47325166.0
c,B > c,c,Thặng dư vốn cổ phần,,4.995.389,4.995.389,,,4995389.0,4995389.0
g,B > g,g,Vốn khác,,412,412,,,412.0,412.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,27.082.539,22.217.256,,,27082539.0,22217256.0
5,B > 5,5,Lợi nhuận chưa phân phối,,74.424.615,58.920.755,,,74424615.0,58920755.0
a,B > a,a,Lợi nhuận để lại năm trước,,49.415.389,36.278.497,,,49415389.0,36278497.0
b,B > b,b,Lợi nhuận để lại năm nay,,25.009.226,22.642.258,,,25009226.0,22642258.0
,,,TỔNG VỐN CHỦ SỞ HỮU,22(a),162.393.868,133.458.978,,,162393868.0,133458978.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.835.959.492,1.808.207.511,,,1835959492.0,1808207511.0
